,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
92,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",How did the older prince feel when he was suddenly enveloped by a thick cloud?,"Why did the king and queen never allow the prince out without a great escort?, Why did the king and queen gradually forget the sea-queen?, What happened after the prince was ten years old?, What happened after the prince disappeared?, Why did the king and queen wish to find a wife for the prince?","[0.26666666666666666, 0.15384615384615383, 0.25, 0.19047619047619044, 0.20689655172413796]","[0.88655365, 0.89528817, 0.89174485, 0.90534806, 0.8921385]","[0.25443899631500244, 0.299241840839386, 0.38388216495513916, 0.36528587341308594, 0.3309759795665741]","[0.35831291876413535, 0.49616830003403634, 0.37200908038405156, 0.41917424905767126, 0.36020039553021393]"
93,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",Why was the young prince the sole heir to the crown now?,"Why did the king and queen never allow the prince out without a great escort?, Why did the king and queen gradually forget the sea-queen?, What happened after the prince was ten years old?, What happened after the prince disappeared?, Why did the king and queen wish to find a wife for the prince?","[0.22222222222222224, 0.2608695652173913, 0.1904761904761905, 0.2222222222222222, 0.30769230769230765]","[0.90421474, 0.90089375, 0.8984702, 0.90955734, 0.9147606]","[0.2994123101234436, 0.31660640239715576, 0.44236665964126587, 0.3788674473762512, 0.39921247959136963]","[0.35831291876413535, 0.49616830003403634, 0.37200908038405156, 0.41917424905767126, 0.36020039553021393]"
94,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",Where was the older prince before he disappeared?,"Why did the king and queen never allow the prince out without a great escort?, Why did the king and queen gradually forget the sea-queen?, What happened after the prince was ten years old?, What happened after the prince disappeared?, Why did the king and queen wish to find a wife for the prince?","[0.1739130434782609, 0.10526315789473685, 0.23529411764705882, 0.42857142857142855, 0.18181818181818182]","[0.8953889, 0.9031842, 0.90116686, 0.9214325, 0.90389115]","[0.25703075528144836, 0.290574312210083, 0.4378504157066345, 0.5465176701545715, 0.3461968004703522]","[0.35831291876413535, 0.49616830003403634, 0.37200908038405156, 0.41917424905767126, 0.36020039553021393]"
95,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",Who foretold many mysterious happenings?,"Why did no one venture to go there after eleven at night?, Why did the king call together his council?, Who had already foretold many mysterious happenings?, What did the wise woman say the king must do?, Why was it a serious difficulty to find a bride?, Why did no one wish to give their daughter to a sea-king?","[0.0, 0.0, 0.8333333333333333, 0.0, 0.0, 0.0]","[0.86791456, 0.87615263, 0.97077096, 0.8697691, 0.8777184, 0.87055665]","[0.3254639506340027, 0.3120378851890564, 0.7500974535942078, 0.4009259343147278, 0.25648507475852966, 0.2589167654514313]","[0.21401603033752975, 0.08392229812593101, 0.024512401940754224, 0.05637560315259291, 0.026658376817028855, 0.2224246939793677]"
96,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",What did the king do when people's complaints came to the king's ear?,"Why did no one venture to go there after eleven at night?, Why did the king call together his council?, Who had already foretold many mysterious happenings?, What did the wise woman say the king must do?, Why was it a serious difficulty to find a bride for the prince?","[0.14814814814814814, 0.26086956521739135, 0.0, 0.4, 0.14285714285714288]","[0.8781303, 0.90915614, 0.86169016, 0.9107241, 0.885614]","[0.3212999701499939, 0.4562954306602478, 0.40310949087142944, 0.4182891249656677, 0.37054938077926636]","[0.0361808203044872, 0.08392229812593101, 0.024512401940754224, 0.05637560315259291, 0.020200106912694155]"
97,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",What did the king have to do when he brought the wise woman?,"Why did no one venture to go there after eleven at night?, Why did the king call together his council?, Who had already foretold many mysterious happenings?, What did the wise woman say the king must do?, Why was it a serious difficulty to find a bride for the prince?","[0.16, 0.2857142857142857, 0.0, 0.4347826086956522, 0.15384615384615385]","[0.8716857, 0.9086329, 0.8594656, 0.9394633, 0.88258487]","[0.31189823150634766, 0.41230863332748413, 0.36224234104156494, 0.5230611562728882, 0.41931474208831787]","[0.0361808203044872, 0.08392229812593101, 0.024512401940754224, 0.05637560315259291, 0.020200106912694155]"
98,"When all was finished, and the little house had been arranged with regal splendor, the cries of ""First born, first wed!"" again began to sound from the shore. And it was found necessary, though all were unwilling, to follow the wise woman's counsel, and choose three of the loveliest maidens between the ages of fifteen and seventeen, belonging to the first families of the land. They were to be taken to the castle, said the wise woman, and to be treated like ladies of the blood royal, and one after another they were to be sent to the little house by the sea-shore; for should one of them find favor in the eyes of the sea-prince, then the commotion and turmoil would surely cease. In the meantime the negotiations for the marriage of the younger prince were continued, and the bride selected for him was soon expected to arrive.",Where were the three of the loveliest maidens between the ages of fifteen and seventeen taken to?,"What did the little house have when it was arranged?, What did the little house need to do to the three loveliest maidens?, Why did the little house need to take the three loveliest maidens to the castle?, What would happen if one of the maidens found favor in the eyes of the sea-prince?","[0.07407407407407408, 0.26666666666666666, 0.3125, 0.29411764705882354]","[0.8673201, 0.9016955, 0.90062505, 0.8760518]","[0.2735534906387329, 0.40506136417388916, 0.42114371061325073, 0.3501202464103699]","[0.27955378582426715, 0.5718728129629848, 0.47302621872495865, 0.018002829271425148]"
99,"Her relatives and the court said farewell to her with many tears, left her before eleven, locked the door on the outside, and took the keys with them to the castle. The wise woman was also there, consoled the people, and assured them that if the maiden only forbore to speak, and did not turn around, she would come out in the morning fresh and blooming. The poor girl prayed and wept until she grew sleepy; but toward twelve o'clock the outer door suddenly opened, and then the door of the drawing-room. She was startled and filled with fear when, her face turned toward the wall, she saw in the great mirror, how a tall, well-built youth entered, from whose garments the water ran in streams to the floor. He shook himself as though freezing, and said ""Uh hu!"" Then he went to the window, and there laid down an unusually large and handsome apple, and hung a bottle in the casement. Next he stepped to the bed, bent over the sleeping girl and looked at her, strode up and down a few times, shaking the water from his clothes and saying ""Uh hu!"" Then he went back to the bed, undressed hurriedly, lay down and fell asleep.",What did the sea-prince do when it turned twelve o'clock?,What happened after the poor girl prayed and wept until she grew sleepy?,[0.16],[0.8681555],[0.30308154225349426],[0]
100,"The prince at once replied: ""Take the hands-they are lying under the bed-and the bottle hanging in the window, and pour some of the contents of the bottle on their arms and hands, join them together, bind them up, take away the bandages in three days' time and the hands will have been healed!"" The maiden made no reply and fell asleep. In the morning the prince rose as usual, stepped over to the bed several times and looked at her from its foot; but she did not dare look up, and closed her eyes. He sighed, took his apple; but left the bottle, and went. When the maiden rose she did as he had told her, and in three days' time removed the bandages, and the girls' hands were well and whole.",What did the maiden do when the sea prince told her how to get the other two girls hands back to normal?,"How did the maiden feel after she fell asleep?, What did the maiden do after she rose?","[0.1935483870967742, 0.3333333333333333]","[0.9033189, 0.9133956]","[0.33861684799194336, 0.3375290334224701]","[0.13747081017605653, 0.13977121394614234]"
101,"Then she took the apple, and when she was outside the door, laid it on the ground, and it rolled and rolled, and she followed it, a long, long way, to a region unknown to her. There she came to a high garden wall, over which hung the branches of trees, loaded with beautiful fruit. Finally she reached a great portal, adorned with gold and splendid ornaments, which opened of its own accord as the apple rolled up to it. And the apple rolled through the portal and the maiden followed it into the garden, which was the most beautiful she ever had seen. The apple rolled over to a low-growing tree weighed with the most magnificent apples, and there it stopped. The maiden picked all that her silken apron would hold, and turned to see from which direction she had come, and where the portal stood through which she would have to pass on her way back. But the garden was so lovely that she felt like enjoying its charms a while longer, and without thinking of the prince's words, she touched the apple with her foot, and it began to roll again.",Where was the maiden after she followed the apple through the portal?,"What did the princess do after she found the apple?, What did the princess do after she touched the apple with her foot?","[0.45454545454545453, 0.4]","[0.9276944, 0.92616826]","[0.47993969917297363, 0.4200025796890259]","[0.4936359311242054, 0.4913270548144421]"
102,"Suddenly the portal closed with a great crash. Then the maiden was much frightened, and regretted having done what had been forbidden her; yet now she could not get out, and was compelled to follow the apple once more. It rolled far into the beautiful garden and stopped at a little fire-place, where stood two kettles of water, one small, the other large. There was a great fire burning under the large kettle; but only a weak fire beneath the smaller one. Now when the apple stopped there the maiden did not know what to do. Then it occurred to her to scrape away the fire beneath the large kettle and thrust it under the little one; and soon the kettle over the small fire began to boil and the kettle over the large one simmered down. But she could not stay there. And since she had already disobeyed the order given her, she expected to die, nothing less, and was quite resigned to do so, because she had lost all hope of winning the prince.",What happened when the portal crashed?,Why was the maiden resigned to die?,[0.15384615384615383],[0.8920853],[0.23539794981479645],[0]
103,"So she gave the apple another push, and it rolled into a meadow in the middle of the garden, and there lay two little children, asleep, with the hot sun beating straight down upon them. The maiden felt sorry for the children, and she took her apron and laid it over them to protect them from[ the sun, and only kept the apples she could put in her little basket. But she could not stay here either, so again she touched the apple, and it rolled on and before she knew it the girl found herself by the sea-shore. There, under a shady tree lay the prince asleep; while beside him sat the sea-queen. Both rose when the maiden drew near, and the prince looked at her with alarm and tenderness in his flashing eyes. Then he leaped into the sea, and the white foam closed over him. But the sea-queen was enraged and seized the girl, who thought that her last moment had struck, and begged for a merciful death. The sea-queen looked at her, and asked her who had given her permission to pass beyond the apple-tree.",Who did the maiden see in the middle of the garden?,Why was the sea-queen enraged?,[0.11764705882352942],[0.9039392],[0.23890748620033264],[0]
104,"So she gave the apple another push, and it rolled into a meadow in the middle of the garden, and there lay two little children, asleep, with the hot sun beating straight down upon them. The maiden felt sorry for the children, and she took her apron and laid it over them to protect them from[ the sun, and only kept the apples she could put in her little basket. But she could not stay here either, so again she touched the apple, and it rolled on and before she knew it the girl found herself by the sea-shore. There, under a shady tree lay the prince asleep; while beside him sat the sea-queen. Both rose when the maiden drew near, and the prince looked at her with alarm and tenderness in his flashing eyes. Then he leaped into the sea, and the white foam closed over him. But the sea-queen was enraged and seized the girl, who thought that her last moment had struck, and begged for a merciful death. The sea-queen looked at her, and asked her who had given her permission to pass beyond the apple-tree.",What did the maiden do when she saw the two little children?,"Why did the maiden lay her apron over the children?, What did the maiden do with the apples she could not put in her little basket?, Where did the apple roll to after the girl touched it?, Who sat beside the prince when the maiden drew near?, How did the prince feel when he saw the maiden?, What did the sea-queen do when she saw the maiden?, What did the sea-queen ask the maiden?, Why did the maiden touch the apple again?","[0.45454545454545453, 0.5, 0.2608695652173913, 0.2727272727272727, 0.45454545454545453, 0.6956521739130435, 0.4, 0.4]","[0.9314667, 0.9169912, 0.9064611, 0.90168655, 0.9476613, 0.96024823
, 0.9226237, 0.92301875]","[0.42120182514190674, 0.3974044919013977, 0.28205806016921997, 0.3648347556591034, 0.4866672158241272, 0.5952669382095337, 0.3779628276824951, 0.3172837495803833]","[0.269855346668251, 0.09860555690873851, 0.053863663688318665, 0.06238986072117501, 0.31702331385234306, 0.5081327481546147, 0.4412484512922977, 0.36889397323344053]"
105,"So she gave the apple another push, and it rolled into a meadow in the middle of the garden, and there lay two little children, asleep, with the hot sun beating straight down upon them. The maiden felt sorry for the children, and she took her apron and laid it over them to protect them from[ the sun, and only kept the apples she could put in her little basket. But she could not stay here either, so again she touched the apple, and it rolled on and before she knew it the girl found herself by the sea-shore. There, under a shady tree lay the prince asleep; while beside him sat the sea-queen. Both rose when the maiden drew near, and the prince looked at her with alarm and tenderness in his flashing eyes. Then he leaped into the sea, and the white foam closed over him. But the sea-queen was enraged and seized the girl, who thought that her last moment had struck, and begged for a merciful death. The sea-queen looked at her, and asked her who had given her permission to pass beyond the apple-tree.",How did the maiden feel when she saw that the sea-queen was enraged and seized the girl?,Why was the sea-queen enraged?,[0.3333333333333333],[0.9293217],[0.4564473628997803],[0]
106,"The maiden confessed her disobedience, and said that she had done so without meaning any harm, whereupon the sea-queen said she would see how she had conducted herself and punish her accordingly. Thereupon the sea-queen gave the apple a push, and it rolled back through the portal to the apple-tree. The sea-queen saw that the apple-tree was uninjured, again pushed the apple and it rolled on to the little fire-place. But when the sea-queen saw the small kettle boiling furiously, while the large one was growing cold, she became very angry, seized the girl's arm savagely and rising to her full height, asked: ""What have you dared do here? How dared you take the fire from under my kettle and put it under your own?"" The maiden did not know that she had done anything wrong, and said that she did not know why. Then the sea-queen replied: ""The large kettle signified the love between the prince and myself; the small one the love between the prince and you. Since you have taken the fire from under my kettle and laid it under your own, the prince is now violently in love with you, while his love for me is well-nigh extinguished. ""Look,"" she cried, angrily, ""now my kettle has stopped boiling altogether, and yours is boiling over! But I will see what other harm you have done and punish you accordingly.""",Why was the sea queen very angry?,What did the sea-queen do when she saw the small kettle boiling furiously?,[0.2857142857142857],[0.9002522],[0.4105378985404968],[0]
107,"But the very moment the priest began to pray, the two wings of the church portal quickly flew open, and a tall, strong, handsome man with flashing eyes, royally clad, came in, stepped up to the bridal chair, thrust his proxy out so hastily that he nearly fell, and cried: ""This is my place! Now, priest, speak the blessing!"" While the blessing was spoken the prince became quiet again, and then greeted his parents and the whole court with joy, and before all embraced his wife, who now for the first time ventured to take a good look at him. From then on the prince was like any other human being, and in the end he inherited his father's kingdom, and became a great and world-renowned ruler, beloved by his subjects, and adored by his wife. They lived long and happily, and their descendants are still the rulers of the land over which he reigned.",What did the sea-prince do while the blessing was spoken?,"How did the prince feel after he was restored to life?, What did the prince inherit from his father?, What did the prince's descendants do?","[0.36363636363636365, 0.4210526315789474, 0.5555555555555556]","[0.90485716, 0.9072542, 0.91859543]","[0.47355955839157104, 0.3753398656845093, 0.402462899684906]","[0.09058752341587764, 0.3155984539112945, 0.32260135189272865]"
108,"This the maiden promised, with honest tears, and the sea-queen bade her go. When she was again in the castle, all were astonished at the beauty and costliness of her dress and jewels, in comparison to which those of the other princess were as nothing. The treasures of the whole kingdom would not have sufficed to pay for such a bridal outfit. And none any longer dared envy the lovely maiden, for never had a princess brought a richer bridal dower into the country. Now all went in solemn procession to the church, and the priests stood before the bridal chairs with their books open, and waited for the prince who, according to the sea-queen's word, would not come until the blessing was to be spoken. They waited impatiently, and the king finally told one of the greatest nobles to seat himself in the bridal chair in the prince's place, which he did.",How will the maiden feel when she sees her dress and jewels in the castle?,"What did the princess do after she left the castle?, Why did no one dare envy the lovely maiden after the princess brought a richer bridal dower?, What did the priests do while they waited for the prince?, Who did the king tell to seat himself in the bridal chair in the prince's place?","[0.32, 0.18750000000000003, 0.15384615384615383, 0.18750000000000003]","[0.92292947, 0.87325865, 0.9037936, 0.87323, ]","[0.37318480014801025, 0.37455224990844727, 0.296610951423645, 0.24870899319648743]","[0.1204731312885784, 0.03124577801157052, 0.11530568323789493, 0.03575297164449809]"
109,"Laotsze is really older than heaven and earth put together. He is the Yellow Lord or Ancient, who created this world together with the other four. At various times he has appeared on earth, under various names. His most celebrated incarnation, however, is that of Laotsze, ""The Old Child,"" which name he was given because he made his appearance on earth with white hair.",Who was really older than heaven and earth put together?,"Who is really older than heaven and earth put together?, What other four created this world?, What is Laotsze's most celebrated incarnation?","[0.9, 0.0, 0.0]","[0.9935994, 0.85364616, 0.8255435]","[0.8936143517494202, 0.3292347490787506, 0.26753970980644226]","[0.022416933501922302, 0.034052233956373766, 0.03655552228545124]"
110,"Laotsze is really older than heaven and earth put together. He is the Yellow Lord or Ancient, who created this world together with the other four. At various times he has appeared on earth, under various names. His most celebrated incarnation, however, is that of Laotsze, ""The Old Child,"" which name he was given because he made his appearance on earth with white hair.",What name was Laotsze given?,"Who is really older than heaven and earth put together?, What other four created this world?, Why was Laotsze given the name ""The Old Child""?","[0.0, 0.1818181818181818, 0.42857142857142855]","[0.80465376, 0.84285104, 0.9264355]","[0.21661606431007385, 0.2528040111064911, 0.4777401089668274]","[0.017212239801819764, 0.018653567503517977, 0.017033186037639283]"
111,"He acquired all sorts of magic powers by means of which he extended his life-span. Once he hired a servant to do his bidding. He agreed to give him a hundred pieces of copper daily; yet he did not pay him, and finally he owed him seven million, two hundred thousand pieces of copper. Then he mounted a black steer and rode to the West. He wanted to take his servant along. But when they reached the Han-Gu pass, the servant refused to go further, and insisted on being paid. Yet Laotsze gave him nothing.",How did Laotsze extend his life-span?,"Why did Laotsze not pay his servant?, What did Laotsze do to extend his life-span?, What did Laotsze do to mount a black steer and ride to the West?","[0.42857142857142855, 0.75, 0.19047619047619047]","[0.9264417, 0.9780341, 0.91769093]","[0.3090641498565674, 0.8593410849571228, 0.29007893800735474]","[0.06164542728425844, 0.4854917717073234, 0.2574866101628968]"
112,"He acquired all sorts of magic powers by means of which he extended his life-span. Once he hired a servant to do his bidding. He agreed to give him a hundred pieces of copper daily; yet he did not pay him, and finally he owed him seven million, two hundred thousand pieces of copper. Then he mounted a black steer and rode to the West. He wanted to take his servant along. But when they reached the Han-Gu pass, the servant refused to go further, and insisted on being paid. Yet Laotsze gave him nothing.",What happened when Laotsze did not pay his servant?,"Why did Laotsze not pay his servant?, What did Laotsze do to extend his life-span?, What did Laotsze do to mount a black steer and ride to the West?","[0.6250000000000001, 0.3333333333333333, 0.17391304347826086]","[0.96380955, 0.9056825, 0.8936599]","[0.773654043674469, 0.3769081234931946, 0.27255362272262573]","[0.06164542728425844, 0.4854917717073234, 0.2574866101628968]"
113,"He acquired all sorts of magic powers by means of which he extended his life-span. Once he hired a servant to do his bidding. He agreed to give him a hundred pieces of copper daily; yet he did not pay him, and finally he owed him seven million, two hundred thousand pieces of copper. Then he mounted a black steer and rode to the West. He wanted to take his servant along. But when they reached the Han-Gu pass, the servant refused to go further, and insisted on being paid. Yet Laotsze gave him nothing.",Why did the servant refused to go further?,"Why did Laotsze not pay his servant?, What did Laotsze do to extend his life-span?, What did Laotsze do to mount a black steer and ride to the West?","[0.39999999999999997, 0.23529411764705882, 0.18181818181818182]","[0.8955268, 0.86651725, 0.8610436]","[0.43019384145736694, 0.2927597463130951, 0.24565312266349792]","[0.06164542728425844, 0.4854917717073234, 0.2574866101628968]"
114,"He acquired all sorts of magic powers by means of which he extended his life-span. Once he hired a servant to do his bidding. He agreed to give him a hundred pieces of copper daily; yet he did not pay him, and finally he owed him seven million, two hundred thousand pieces of copper. Then he mounted a black steer and rode to the West. He wanted to take his servant along. But when they reached the Han-Gu pass, the servant refused to go further, and insisted on being paid. Yet Laotsze gave him nothing.",What did Laotsze do when his servant insisted on being paid?,"Why did Laotsze not pay his servant?, What did Laotsze do to extend his life-span?, What did Laotsze do to mount a black steer and ride to the West?","[0.4444444444444444, 0.5, 0.32]","[0.9475276, 0.91653705, 0.90453213]","[0.6044601202011108, 0.41943275928497314, 0.30083948373794556]","[0.06164542728425844, 0.4854917717073234, 0.2574866101628968]"
115,"He acquired all sorts of magic powers by means of which he extended his life-span. Once he hired a servant to do his bidding. He agreed to give him a hundred pieces of copper daily; yet he did not pay him, and finally he owed him seven million, two hundred thousand pieces of copper. Then he mounted a black steer and rode to the West. He wanted to take his servant along. But when they reached the Han-Gu pass, the servant refused to go further, and insisted on being paid. Yet Laotsze gave him nothing.",Where did Laotsze plan to go?,"Why did Laotsze not pay his servant?, What did Laotsze do to extend his life-span?, What did Laotsze do to mount a black steer and ride to the West?","[0.30769230769230765, 0.4, 0.3]","[0.919456, 0.92947817, 0.9105581]","[0.3157956600189209, 0.45942234992980957, 0.35837632417678833]","[0.06164542728425844, 0.4854917717073234, 0.2574866101628968]"
116,"When they came to the house of the guardian of the pass, red clouds appeared in the sky. The guardian understood this sign and knew that a holy man was drawing near. So he went out to meet him and took him into his house. He questioned him with regard to hidden knowledge, but Laotsze only stuck out his tongue at him and would not say a word. Nevertheless, the guardian of the pass treated him with the greatest respect in his home. Laotsze's servant told the servant of the guardian that his master owed him a great deal of money, and begged the latter to put in a good word for him.",What did Laotsze do when the guardian questioned him with regard to hidden knowledge?,What did the guardian do when Laotsze arrived?,[0.36363636363636365],[0.939994],[0.5317105054855347],[0]
117,"When they came to the house of the guardian of the pass, red clouds appeared in the sky. The guardian understood this sign and knew that a holy man was drawing near. So he went out to meet him and took him into his house. He questioned him with regard to hidden knowledge, but Laotsze only stuck out his tongue at him and would not say a word. Nevertheless, the guardian of the pass treated him with the greatest respect in his home. Laotsze's servant told the servant of the guardian that his master owed him a great deal of money, and begged the latter to put in a good word for him.",What did Laotsze's servant do when they reached the guardian's house?,What did the guardian do when Laotsze arrived?,[0.380952380952381],[0.95103985],[0.5737231373786926],[0]
118,"When the guardian's servant heard how large a sum it was, he was tempted to win so wealthy a man for a son-in-law, and he married him to his daughter. Finally the guardian heard of the matter and came to Laotsze together with the servant. Then Laotsze said to his servant: ""You rascally servant. You really should have been dead long ago. I hired you, and since I was poor and could give you no money, I gave you a life-giving talisman to eat. That is how you still happen to be alive. I said to you: 'If you will follow me into the West, the land of Blessed Repose, I will pay you your wages in yellow gold. But you did not wish to do this.'"" And with that he patted his servant's neck. Thereupon the latter opened his mouth, and spat out the life-giving talisman. The magic signs written on it with cinnabar, quite fresh and well-preserved, might still be seen. But the servant suddenly collapsed and turned into a heap of dry bones.",What did Laotsze give the servant instead of money?,Why did the servant marry Laotsze to his daughter?,[0.3333333333333333],[0.92302454],[0.3837471604347229],[0]
119,"When the guardian's servant heard how large a sum it was, he was tempted to win so wealthy a man for a son-in-law, and he married him to his daughter. Finally the guardian heard of the matter and came to Laotsze together with the servant. Then Laotsze said to his servant: ""You rascally servant. You really should have been dead long ago. I hired you, and since I was poor and could give you no money, I gave you a life-giving talisman to eat. That is how you still happen to be alive. I said to you: 'If you will follow me into the West, the land of Blessed Repose, I will pay you your wages in yellow gold. But you did not wish to do this.'"" And with that he patted his servant's neck. Thereupon the latter opened his mouth, and spat out the life-giving talisman. The magic signs written on it with cinnabar, quite fresh and well-preserved, might still be seen. But the servant suddenly collapsed and turned into a heap of dry bones.",Why did the servant suddenly collapse and turn into a heap of bones?,"Why did the servant marry Laotsze to his daughter?, What happened when Laotsze's servant spat out the life-giving talisman?","[0.3636363636363637, 0.08]","[0.8781767, 0.87032527]","[0.28849083185195923, 0.4010394215583801]","[0.02443703255186539, 0.024088562704853513]"
120,"Then the guardian of the pass cast himself to earth and pleaded for him. He promised to pay the servant for Laotsze and begged the latter to restore him to life. So Laotsze placed the talisman among the bones and at once the servant came to life again. The guardian of the pass paid him his wages and dismissed him. Then he adored Laotsze as his master, and the latter taught him the art of eternal life, and left him his teachings, in five thousand words, which the guardian wrote down. The book which thus came into being is the Tao Teh King, ""The Book of the Way and Life."" Laotsze then disappeared from the eyes of men. The guardian of the pass however, followed his teachings, and was given a place among the immortals.",Why did the guardian adore Laotsze as his master?,What did Laotsze teach the guardian of the pass?,[0.3333333333333333],[0.92133075],[0.44065338373184204],[0]
121,"Have you ever seen a maiden? I mean what our pavers call a maiden, a thing with which they ram down the paving-stones in the roads. A maiden of this kind is made altogether of wood, broad below, and girt round with iron rings. At the top she is narrow, and has a stick passed across through her waist, and this stick forms the arms of the maiden.  In the shed stood two Maidens of this kind. They had their place among shovels, hand-carts, wheelbarrows, and measuring-tapes; and to all this company the news had come that the Maidens were no longer to be called ""maidens,"" but ""hand-rammers,"" which word was the newest and the only correct designation among the pavers for the thing we all know from the old times by the name of ""the maiden.""",What does a maiden do?,"What was the newest and only correct designation among the pavers for the thing we all know from the old times by the name of ""the maiden""?",[0.125],[0.8562176],[0.3156808614730835],[0]
122,"Have you ever seen a maiden? I mean what our pavers call a maiden, a thing with which they ram down the paving-stones in the roads. A maiden of this kind is made altogether of wood, broad below, and girt round with iron rings. At the top she is narrow, and has a stick passed across through her waist, and this stick forms the arms of the maiden.  In the shed stood two Maidens of this kind. They had their place among shovels, hand-carts, wheelbarrows, and measuring-tapes; and to all this company the news had come that the Maidens were no longer to be called ""maidens,"" but ""hand-rammers,"" which word was the newest and the only correct designation among the pavers for the thing we all know from the old times by the name of ""the maiden.""",What forms the arms of the maiden?,"What was the newest and only correct designation among the pavers for the thing we all know from the old times by the name of ""the maiden""?",[0.2941176470588235],[0.8765831],[0.3604282736778259],[0]
