,id,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
83,84,"The old poet seated himself beside his hearth, and took the little fellow on his lap. He squeezed the water out of his dripping hair, warmed his hands between his own, and boiled for him some sweet wine. Then the boy recovered, his cheeks again grew rosy, he jumped down from the lap where he was sitting, and danced round the kind old poet. ""You are a merry fellow,"" said the old man. ""What's your name?"" ""My name is Cupid,"" answered the boy. ""Don't you know me? There lies my bow. It shoots well, I can assure you! Look, the weather is now clearing up, and the moon is shining clear again through the window.""",What is the boy's name?,"1. What is the name of the old poet?
2. What is the name of the little fellow?
3. What is the name of the boy?
4. What is the name of the weather?
5. What is the name of the moon?
6. What is the name of the window?
7. What is the name of the old man?","[0.5333333333333333, 0.5714285714285715, 0.6153846153846153, 0.6153846153846153, 0.6153846153846153, 0.6153846153846153, 0.5714285714285715]","[0.92897177, 0.9527408, 0.9751783, 0.9355754, 0.94503, 0.9476792, 0.9598242]","[0.4633839726448059, 0.7360590100288391, 0.8448880314826965, 0.28764456510543823, 0.31987321376800537, 0.2818048596382141, 0.5447793006896973]","[0.5900468726392808, 0.6104735835807844, 0.7071067811865475, 0.7071067811865475, 0.7071067811865475, 0.7071067811865475, 0.7506238537503395]"
84,85,"""Why, your bow is quite spoiled,"" said the old poet. ""That were sad indeed,"" said the boy, and he took the bow in his hand and examined it on every side. ""Oh, it is dry again, and is not hurt at all. The string is quite tight. I will try it directly."" And he bent his bow, took aim, and shot an arrow at the old poet, right into his heart. ""You see now that my bow was not spoiled,"" said he laughing; and away he ran. The naughty boy, to shoot the old poet in that way! He who had taken him into his warm room, who had treated him so kindly, and who had given him warm wine and the very best apples! The poor poet lay on the earth and wept, for the arrow had really flown into his heart. ""Fie!"" said he. ""How naughty a boy Cupid is! I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache.""",Who will the poet tell about naughty cupid?,"1. Why did the old poet say that the boy's bow was spoiled?
2. Why did the boy take the bow in his hand and examine it on every side?
3. Why did the boy shoot an arrow at the old poet?
4. Why did the naughty boy shoot the old poet in that way?
5. Why did the old poet weep for the arrow had flown into his heart?
6. Why did the old poet say that Cupid was naughty and caused sorrow and heartache?
7. Why did the old poet tell children about Cupid and his naughtiness?","[0.18181818181818182, 0.08333333333333333, 0.2105263157894737, 0.2, 0.18181818181818182, 0.26086956521739135, 0.5]","[0.8806564, 0.8600603, 0.89558035, 0.8902402, 0.87489206, 0.899861, 0.91820264]","[0.36908578872680664, 0.28997737169265747, 0.3430083990097046, 0.3758052587509155, 0.3621267080307007, 0.49274569749832153, 0.538065493106842]","[0.4428500142691474, 0.18002829271425147, 0.32279203460361755, 0.16261701715194898, 0.2665781189032312, 0.4261082723917018, 0.3349531889697646]"
85,86,"""Why, your bow is quite spoiled,"" said the old poet. ""That were sad indeed,"" said the boy, and he took the bow in his hand and examined it on every side. ""Oh, it is dry again, and is not hurt at all. The string is quite tight. I will try it directly."" And he bent his bow, took aim, and shot an arrow at the old poet, right into his heart. ""You see now that my bow was not spoiled,"" said he laughing; and away he ran. The naughty boy, to shoot the old poet in that way! He who had taken him into his warm room, who had treated him so kindly, and who had given him warm wine and the very best apples! The poor poet lay on the earth and wept, for the arrow had really flown into his heart. ""Fie!"" said he. ""How naughty a boy Cupid is! I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache.""",Why did the poet cry?,"1. Why did the old poet say that the boy's bow was spoiled?
2. Why did the boy take the bow in his hand and examine it on every side?
3. Why did the boy shoot an arrow at the old poet?
4. Why did the boy laugh after shooting the arrow at the old poet?
5. Why did the old poet weep after being shot by the arrow?
6. Why did the old poet say that Cupid was naughty?
7. Why did the old poet tell children about Cupid?","[0.4210526315789473, 0.2857142857142857, 0.5000000000000001, 0.4444444444444444, 0.47058823529411764, 0.5333333333333333, 0.5714285714285714]","[0.9290408, 0.8905385, 0.9312444, 0.92610145, 0.9304949, 0.91886044, 0.91974604]","[0.32436123490333557, 0.28407371044158936, 0.40541189908981323, 0.4719003438949585, 0.5162464380264282, 0.33184438943862915, 0.2658853828907013]","[0.4160190882715712, 0.16467029855845897, 0.6340466277046861, 0.5607900239988007, 0.3541698766144061, 0.62389860721175, 0.38662527162788296]"
86,87,"And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning. When the university students come from the lectures, he runs beside them in a black coat, and with a book under his arm. It is quite impossible for them to know him, and they walk along with him arm in arm, as if he, too, were a student like themselves. Then, unperceived, he thrusts an arrow to their bosom. When the young maidens come from being examined by the clergyman, or go to church to be confirmed, there he is again close behind them. Yes, he is forever following people. At the play, he sits in the great chandelier and burns in bright flames, so that people think it is really a flame, but they soon discover it is something else. He roves about in the garden of the palace and upon the ramparts: yes, once he even shot your father and mother right in the heart. Ask them only and you will hear what they'll tell you.",Why does cupid dress up like a student?,"1. What is the story about?
2. When did this story take place?
3. Where did this story take place?
4. Which characters are involved in this story?
5. Who is the main character in this story?
6. Why did this story happen?
7. How did this story end?","[0.0, 0.0, 0.0, 0.0, 0.0, 0.15384615384615385, 0.0]","[0.8844245, 0.88082385, 0.88032335, 0.8727532, 0.8846806, 0.886852, 0.89087605]","[0.23323656618595123, 0.2526206970214844, 0.24731303751468658, 0.2738029658794403, 0.24972869455814362, 0.2753968834877014, 0.2284044474363327]","[0.06985342056580097, 0.8091067115702212, 0.8091067115702212, 0.345720784641941, 0.3549481056010053, 0.21711852081087685, 0.21711852081087685]"
87,88,"And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning. When the university students come from the lectures, he runs beside them in a black coat, and with a book under his arm. It is quite impossible for them to know him, and they walk along with him arm in arm, as if he, too, were a student like themselves. Then, unperceived, he thrusts an arrow to their bosom. When the young maidens come from being examined by the clergyman, or go to church to be confirmed, there he is again close behind them. Yes, he is forever following people. At the play, he sits in the great chandelier and burns in bright flames, so that people think it is really a flame, but they soon discover it is something else. He roves about in the garden of the palace and upon the ramparts: yes, once he even shot your father and mother right in the heart. Ask them only and you will hear what they'll tell you.",Where does cupid sit at the play?,"1. What is the story about?
2. When did this story take place?
3. Where did this story take place?
4. Which characters are involved in this story?
5. Who is the main character in this story?
6. Why did this story happen?
7. How did this story end?","[0.15384615384615383, 0.0, 0.15384615384615383, 0.0, 0.13333333333333333, 0.0, 0.0]","[0.89107305, 0.8836844, 0.8836787, 0.87910986, 0.89637995, 0.88645625, 0.8949345]","[0.2448144257068634, 0.26167625188827515, 0.3125132918357849, 0.28372156620025635, 0.25119781494140625, 0.23580403625965118, 0.22239474952220917]","[0.06985342056580097, 0.8091067115702212, 0.8091067115702212, 0.345720784641941, 0.3549481056010053, 0.21711852081087685, 0.21711852081087685]"
88,89,"Oh, he is a naughty boy, that Cupid; you must never have anything to do with him. He is forever running after everybody. Only think, he shot an arrow once at your old grandmother! But that is a long time ago, and it is all past now; however, a thing of that sort she never forgets. Fie, naughty Cupid! But now you know him, and you know, too, how ill-behaved he is!",What did cupid do to your old grandmother?,"1. What is the name of the boy who is described as naughty?
2. When did the boy shoot an arrow at your old grandmother?
3. Where did the boy shoot the arrow at your old grandmother?
4. Which arrow did the boy shoot at your old grandmother?
5. Which boy is described as naughty?
6. Why did the boy shoot an arrow at your old grandmother?
7. How did the boy shoot an arrow at your old grandmother?","[0.09523809523809525, 0.4210526315789474, 0.4210526315789474, 0.4444444444444445, 0.0, 0.4210526315789474, 0.4210526315789474]","[0.85504955, 0.9305203, 0.92926055, 0.92291975, 0.8608538, 0.93108994, 0.93148726]","[0.2921181917190552, 0.4195270538330078, 0.41362518072128296, 0.4531209468841553, 0.23935124278068542, 0.4484306573867798, 0.4400629997253418]","[0.2925612730731506, 0.9036020036098448, 0.6493358309501979, 0.5642647028042949, 0.37764976913718123, 0.9036020036098448, 0.9036020036098448]"
89,90,"Once upon a time there was a king who had a three-year old son, and was obliged to go to war against another king. Then, when his ships sailed home again after he had gained a splendid victory, a storm broke out and his whole fleet was near sinking. But the king vowed he would sacrifice to the sea-queen the first male creature that came to meet him when he reached land and entered his capital. Thereby the whole fleet reached the harbor in safety. But the five-year old prince, who had not seen his father for the past two years, and who was delighted with the thunder of the cannon as the ships came in, secretly slipped away from his attendants, and ran to the landing. When the king came ashore he was the first to cast himself into his arms, weeping with joy. The king was frightened when he thought of the sea-queen. He thought that, after all, the prince was only a child, and at any rate he could sacrifice the next person to step up to him after the prince.",How did the prince feel after he had not seen his father for the past two years?,"1. What was the king's name?
2. What was the name of the king's son?
3. What was the king's reason for going to war?
4. What was the king's reaction when he saw his son?
5. What was the king's plan to appease the sea-queen?
6. What was the king's reaction when he saw his son?
7. What was the prince's reaction when he saw his father?","[0.08333333333333333, 0.15384615384615383, 0.14814814814814817, 0.21428571428571427, 0.14285714285714285, 0.21428571428571427, 0.35714285714285715]","[0.8765392, 0.8844712, 0.8844008, 0.9096206, 0.886199, 0.9096206, 0.9333984]","[0.3122156262397766, 0.37807774543762207, 0.3551340103149414, 0.5470516681671143, 0.35320520401000977, 0.5470516681671143, 0.6434307098388672]","[0.4344371253135792, 0.20556680845025987, 0.38163309113713373, 1.0, 0.3945881255591767, 1.0, 0.5452469119630863]"
90,91,"Once upon a time there was a king who had a three-year old son, and was obliged to go to war against another king. Then, when his ships sailed home again after he had gained a splendid victory, a storm broke out and his whole fleet was near sinking. But the king vowed he would sacrifice to the sea-queen the first male creature that came to meet him when he reached land and entered his capital. Thereby the whole fleet reached the harbor in safety. But the five-year old prince, who had not seen his father for the past two years, and who was delighted with the thunder of the cannon as the ships came in, secretly slipped away from his attendants, and ran to the landing. When the king came ashore he was the first to cast himself into his arms, weeping with joy. The king was frightened when he thought of the sea-queen. He thought that, after all, the prince was only a child, and at any rate he could sacrifice the next person to step up to him after the prince.",Why was the king frightened when he thought of the sea-queen?,"1. What was the king's name?
2. What was the name of the king's son?
3. What was the king's reason for going to war?
4. What was the king's reaction when he saw his son?
5. What was the king's plan to appease the sea-queen?
6. What was the king's reaction when he saw his son?
7. What was the prince's reaction when he saw his father?","[0.3157894736842105, 0.380952380952381, 0.2727272727272727, 0.43478260869565216, 0.5217391304347826, 0.43478260869565216, 0.34782608695652173]","[0.8990389, 0.9056258, 0.9058791, 0.9225147, 0.9367428, 0.9225147, 0.9118624]","[0.3141788840293884, 0.3506283462047577, 0.3968725800514221, 0.45860356092453003, 0.5142985582351685, 0.45860356092453003, 0.45764267444610596]","[0.4344371253135792, 0.20556680845025987, 0.38163309113713373, 1.0, 0.3945881255591767, 1.0, 0.5452469119630863]"
91,92,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",Why couldn't anyone make a successful sea-trip?,"1. What happened to the prince after he was out walking with his tutor and several other gentlemen?
2. Why did the prince suddenly disappear?
3. What was the cause of the prince's disappearance?
4. What was the effect of the prince's disappearance on the king, the queen and the whole country?
5. What was the king and queen's plan for finding a wife for the prince?
6. What was the king and queen's intention in sending out letters and embassies to the most distant countries?","[0.0, 0.13333333333333333, 0.0, 0.0, 0.08333333333333334, 0.0]","[0.8640468, 0.89241844, 0.8796242, 0.8710031, 0.8784637, 0.86651367]","[0.26974108815193176, 0.2510239779949188, 0.28934669494628906, 0.3076421320438385, 0.29840928316116333, 0.29125434160232544]","[0.03424946089789314, 0.05035983350735684, 0.5410822690539396, 0.27571859863660825, 0.32952451615212436, 0.3392375549949802]"
92,93,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",How did the older prince feel when he was suddenly enveloped by a thick cloud?,"1. What happened to the prince after he was out walking with his tutor and several other gentlemen?
2. Why did the prince suddenly disappear?
3. What happened to the prince after he disappeared?
4. What was the prince's age when he disappeared?
5. What was the prince's age when he disappeared?
6. What was the prince's age when he disappeared?
7. What was the prince's age when he disappeared?","[0.2424242424242424, 0.3809523809523809, 0.26086956521739135, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337]","[0.89091444, 0.9174222, 0.9069253, 0.9013014, 0.9013014, 0.9013014, 0.9013014]","[0.392952561378479, 0.40482205152511597, 0.42822033166885376, 0.41124022006988525, 0.41124022006988525, 0.41124022006988525, 0.41124022006988525]","[0.310441435588881, 0.05809334108283256, 0.7780106561124064, 1.0, 1.0, 1.0, 1.0]"
93,94,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",Why was the young prince the sole heir to the crown now?,"1. What happened to the prince after he was out walking with his tutor and several other gentlemen?
2. Why did the prince suddenly disappear?
3. What was the cause of the prince's disappearance?
4. What was the prince's age when he disappeared?
5. What was the prince's age when he was out walking with his tutor and several other gentlemen?
6. What was the prince's age when he suddenly disappeared?
7. What was the prince's age when he was out walking with his tutor and several other gentlemen?
8. What was the prince's age when he disappeared?
9. What was the prince's age when he was out walking with his tutor and several other gentlemen?
10. What was the prince's age when he suddenly disappeared?
11. What was the prince's age when he was out walking with his tutor and several other gentlemen?
12. What was the prince's age when he disappeared?
13. What was the prince's age when he was out walking with his tutor and several other gentlemen?
14. What was the prince's age when he suddenly disappeared?
15. What was the prince's age when he was out walking with his tutor and several other gentlemen?
16. What was the prince's age when he disappeared?
17. What was the prince's age when he was out walking with his tutor and several other gentlemen?
18. What was the prince's age when he suddenly disappeared?
19. What was the prince's age when he was out walking with his tutor and several other gentlemen?
20. What was the prince's age when he disappeared?
21. What was the prince's age when he was out walking with his tutor and several other gentlemen?
22. What was the prince's age when he suddenly disappeared?
23. What was the prince's age when he was out walking with his tutor and several other gentlemen?
24. What was the prince's age when he disappeared?
25. What was the prince's age when he was out walking with his tutor and several other gentlemen?
26. What was the prince's age when he suddenly disappeared?
27. What was the prince's age when he was out walking with his tutor and several other gentlemen?
28. What was the prince's age when he disappeared?
29. What was the prince's age when he was out walking with his tutor and several other gentlemen?
30. What was the prince's age when he suddenly disappeared?
31. What was the prince's age when he was out walking with his tutor and several other gentlemen?
32. What was the prince's age when he disappeared?
33. What was the prince's age","[0.13333333333333333, 0.3333333333333333, 0.28571428571428575, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.2, 0.2727272727272727, 0.2, 0.28571428571428575, 0.3333333333333333]","[0.8828439, 0.91911864, 0.9147321, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.88221806, 0.90624624, 0.88221806, 0.90776056, 0.89933854]","[0.3873719573020935, 0.4495123028755188, 0.43310678005218506, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.3482997417449951, 0.3923574686050415, 0.3482997417449951, 0.39087527990341187, 0.35324007272720337]","[0.6109455387717302, 0.08307018474412793, 0.17567205239427922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.846481724890614]"
94,95,"But from that time on no one could make a successful sea-trip. The people began to murmur because the king had not kept the promise he had made the sea-queen. But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so. After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him. Not long after the older of the princes was out walking with his tutor and several other gentlemen. And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come. And when it vanished, the prince was no longer there. Nor did he return, to the great sorrow of the king, the queen and the whole country. In the meantime the young prince who was now the sole heir to the crown and kingdom grew up. When he was sixteen, they began to think of finding a wife for him. For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died. With this in view, letters were written and embassies sent out to the most distant countries.",Where was the older prince before he disappeared?,"1. What happened to the prince after he was out walking with his tutor and several other gentlemen?
2. Why did the prince suddenly disappear?
3. What was the cause of the prince's disappearance?
4. What was the effect of the prince's disappearance on the king, the queen and the whole country?
5. What was the king and queen's plan for finding a wife for the prince?
6. What was the king and queen's intention in sending out letters and embassies to the most distant countries?
7. What was the purpose of the letters and embassies sent out to the most distant countries?","[0.23076923076923078, 0.28571428571428575, 0.35294117647058826, 0.23076923076923078, 0.26086956521739135, 0.14814814814814814, 0.16666666666666666]","[0.8971455, 0.928448, 0.926592, 0.90927565, 0.9082277, 0.88643414, 0.8794776]","[0.4456402659416199, 0.5037108063697815, 0.479500949382782, 0.4479185938835144, 0.3652424216270447, 0.3587682247161865, 0.28323227167129517]","[0.03424946089789314, 0.05035983350735684, 0.5410822690539396, 0.2812914871095839, 0.3974824393085049, 0.5948590702402718, 0.4662768902376228]"
95,96,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",Who foretold many mysterious happenings?,"1. What was the reason for the haunting of the sea-shore?
2. Why did the people avoid the sea-shore?
3. What was the king's decision to question a wise woman?
4. What did the wise woman say about the prince who had been taken into the sea?
5. What was the difficulty in finding a bride for the prince?
6. What was the king's decision to solve the problem?
7. What was the outcome of the prince's quest for a bride?","[0.0, 0.0, 0.0, 0.09523809523809523, 0.0, 0.0, 0.0]","[0.87976843, 0.8845894, 0.8775966, 0.86719835, 0.87825924, 0.88127416, 0.8789936]","[0.3998754024505615, 0.2990853786468506, 0.3659323453903198, 0.4767146706581116, 0.3604769706726074, 0.36854106187820435, 0.3482580780982971]","[0.15838958393850502, 0.11880509436980435, 0.6000342906130847, 0.0466276890237623, 0.13950796967929135, 0.5548726605111576, 0.13380161378318955]"
96,97,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",What did the king do when people's complaints came to the king's ear?,"1. What was the reason for the haunting of the sea-shore?
2. Why did the people avoid the sea-shore?
3. What was the king's response to the haunting of the sea-shore?
4. What was the king's decision regarding the haunting of the sea-shore?
5. What was the difficulty in finding a suitable bride for the prince?
6. What was the reason for the difficulty in finding a suitable bride for the prince?
7. What was the solution to the difficulty in finding a suitable bride for the prince?","[0.22222222222222224, 0.3478260869565218, 0.42857142857142855, 0.3571428571428571, 0.22222222222222224, 0.20000000000000004, 0.26666666666666666]","[0.88486797, 0.90159243, 0.9116247, 0.89249617, 0.8980556, 0.8944325, 0.8948192]","[0.3215959072113037, 0.3477279245853424, 0.4258251190185547, 0.4177701473236084, 0.38075563311576843, 0.3986552357673645, 0.4114348292350769]","[0.7447819789879647, 0.07906988827190935, 0.7033686408407427, 0.6703420896351792, 0.9234732618882052, 0.9105801434189359, 0.7730551756939454]"
97,98,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted. Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill. At length no one ventured to go there. After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"" And when some one did venture nearer he did so at the risk of his life. At last these complaints came to the king's ear. He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would. When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old. That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.",What did the king have to do when he brought the wise woman?,"1. What was the reason for the haunting of the sea-shore?
2. Why did the people avoid the sea-shore?
3. What was the king's decision to question a wise woman?
4. What did the wise woman say about the prince who had been taken into the sea?
5. What was the difficulty in finding a bride for the prince?","[0.24000000000000002, 0.2857142857142857, 0.4999999999999999, 0.3448275862068966, 0.24999999999999994]","[0.8824152, 0.8965638, 0.9144789, 0.9222373, 0.89763904]","[0.29431283473968506, 0.29372096061706543, 0.47942012548446655, 0.43412530422210693, 0.38897737860679626]","[0.1469410625195576, 0.1048451277926229, 0.11530568323789493, 0.0466276890237623, 0.1281101041965245]"
98,99,"When all was finished, and the little house had been arranged with regal splendor, the cries of ""First born, first wed!"" again began to sound from the shore. And it was found necessary, though all were unwilling, to follow the wise woman's counsel, and choose three of the loveliest maidens between the ages of fifteen and seventeen, belonging to the first families of the land. They were to be taken to the castle, said the wise woman, and to be treated like ladies of the blood royal, and one after another they were to be sent to the little house by the sea-shore; for should one of them find favor in the eyes of the sea-prince, then the commotion and turmoil would surely cease. In the meantime the negotiations for the marriage of the younger prince were continued, and the bride selected for him was soon expected to arrive.",Where were the three of the loveliest maidens between the ages of fifteen and seventeen taken to?,"1. When did all was finished?
2. What was the little house arranged with?
3. Why was it necessary to follow the wise woman's counsel?
4. Which three maidens were chosen to be taken to the castle?
5. What was the purpose of sending them to the little house by the sea-shore?
6. What was the commotion and turmoil about?
7. When was the younger prince's bride expected to arrive?","[0.0, 0.08333333333333333, 0.07142857142857142, 0.2857142857142857, 0.25, 0.16666666666666666, 0.14814814814814817]","[0.8494574, 0.8729971, 0.87369144, 0.9051714, 0.8692153, 0.862222, 0.8754527]","[0.23513159155845642, 0.29135340452194214, 0.30724287033081055, 0.4784173369407654, 0.37550365924835205, 0.23571741580963135, 0.3444426655769348]","[0.03655552228545124, 0.23119742295813953, 0.02547055398169822, 0.03986357128268015, 0.12090340630072073, 0.1477219991186121, 0.04790437745835816]"
99,100,"Her relatives and the court said farewell to her with many tears, left her before eleven, locked the door on the outside, and took the keys with them to the castle. The wise woman was also there, consoled the people, and assured them that if the maiden only forbore to speak, and did not turn around, she would come out in the morning fresh and blooming. The poor girl prayed and wept until she grew sleepy; but toward twelve o'clock the outer door suddenly opened, and then the door of the drawing-room. She was startled and filled with fear when, her face turned toward the wall, she saw in the great mirror, how a tall, well-built youth entered, from whose garments the water ran in streams to the floor. He shook himself as though freezing, and said ""Uh hu!"" Then he went to the window, and there laid down an unusually large and handsome apple, and hung a bottle in the casement. Next he stepped to the bed, bent over the sleeping girl and looked at her, strode up and down a few times, shaking the water from his clothes and saying ""Uh hu!"" Then he went back to the bed, undressed hurriedly, lay down and fell asleep.",What did the sea-prince do when it turned twelve o'clock?,"1. What was the reason for the girl's tears?
2. What did the wise woman do to comfort the people?
3. What did the girl pray for?
4. What happened when the girl fell asleep?
5. What did the youth do when he entered the room?
6. What did the youth do after he entered the room?
7. What did the youth do after he entered the room?","[0.1818181818181818, 0.3636363636363636, 0.3333333333333333, 0.2105263157894737, 0.45454545454545453, 0.3636363636363636, 0.3636363636363636]","[0.86977315, 0.8995021, 0.8807092, 0.8873287, 0.9049638, 0.90201724, 0.90201724]","[0.28282177448272705, 0.36039185523986816, 0.25889867544174194, 0.3200297951698303, 0.32126718759536743, 0.3378550410270691, 0.3378550410270691]","[0.04740604259878138, 0.11094660471566163, 0.18651176671349295, 0.07386099955930606, 0.7186082239261684, 1.0, 1.0]"
