,context,question,generated
258,"So he came to the second watchman. ""Where do you want to go?"" asked the latter. ""In to the maidens,"" said the young fellow. ""In you may go, but you""ll not get out again,"" said the watchman, ""for the troll will be here any minute."" ""And yet I will make the attempt,"" said the young fellow, and the watchman let him pass. So he came to the third watchman. ""Where do you want to go?"" the latter asked him. ""In to the maidens,"" said the young fellow. ""In you may go, but you""ll never get out again, for the troll will be here in three shakes of a lamb's tail,"" said the watchman. ""And yet I will make the attempt,"" said the young fellow, and this watchman also let him pass. Then he reached the inner chamber where the maidens sat. They were so beautiful and distinguished, and the room was so full of gold and silver, that the young fellow never could have imagined anything like it. Then he showed the ring, and asked whether the maidens recognized it. Indeed they did recognize him and the ring. ""But you poor unfortunate, this is the end of us and of you!"" said they. ""The troll with three heads will be along before long, and you had better hide behind the door!"" ""O, I""m so frightened, I""m so frightened!"" wailed the maiden whom the young fellow had chosen. ""Just you stop crying,"" said the young fellow. ""I think fortune will favor us!""",Why were the maidens frightened?,The youngest maiden?
259,"The troll came that very moment and thrust his three heads into the door. ""Uff, it smells like Christian blood here!"" said he. The young fellow struck at the heads with his bamboo cane, and the troll was dead in a minute. So they carried out the body and hid it. A little later the troll with six heads came home. ""Uff, it smells like Christian blood here!"" said he. 'some one must have crept into the place! But what has become of the other troll?"" said he, when he did not see the troll with three heads. ""He has not yet come home,"" said the maidens. ""He must have come home,"" said the troll. ""Perhaps he has gone to look for the fellow who crept in here."" At that moment the young fellow struck all six of his heads with his bamboo cane, and the troll at once fell dead to the ground. Then they dragged out the corpse.",How did the young fellow defeat the trolls?,"How did the troll feel when he entered the house?, What happened after the troll with three heads came home?, What did the troll with six heads do when he did not see the troll with three heads?, How did the troll feel when he entered the maidens' house?, What happened after the maidens carried out the body and hid it?, What did the troll do after he did not see the young fellow?"
260,"A while later came the troll with nine heads. ""Uff, it smells like Christian blood here!"" said he, and grew very angry. ""But where are the two others?"" said he. ""They have not yet come home,"" said the maidens. ""Indeed they have come,"" said the troll, ""but they are probably looking for the Christian who has crept in here!"" At that moment, the young fellow sprang from behind the door, and struck one head after another with his bamboo cane. But he had no more than reached the eighth than it seemed to him that the troll was getting the upper hand, and he ran out of the door. The troll was so furious that he came near bursting. He seized all the maidens and killed them, and then out he flew after the young fellow. The latter had hidden behind a big rock, and when the troll came darting up, showering sparks in his rage, he struck at his ninth head, too, and the troll fell on his back, dead. Then the young fellow ran in again, took his fiddle and played, and all the maidens came back to life. Now they wanted to go home; but did not know how to find the long road back. ""I know what we must do,"" said the young fellow, ""I will take you on my back, one by one, and then the journey will not be long for us."" And this he did. He carried home all the gold and silver he found in the hill, and then celebrated his wedding with the middle one of the maidens, and if they have not died, they are living this very day.",How were the maidens brought back to life?,"How many heads did the troll have?, Why did the troll grow very angry?, Why did the young fellow run away?, What happened after the young fellow played his fiddle?, Why did the maidens want to go home?, What did the young fellow do to help the maidens find the long road back?"
261,"The King of the Polar Bears lived among the icebergs in the far north country. He was old and monstrous big; he was wise and friendly to all who knew him. His body was thickly covered with long, white hair that glistened like silver under the rays of the midnight sun. His claws were strong and sharp, that he might walk safely over the smooth ice or grasp and tear the fishes and seals upon which he fed.  The seals were afraid when he drew near, and tried to avoid him; but the gulls, both white and gray, loved him because he left the remnants of his feasts for them to devour.  Often his subjects, the polar bears, came to him for advice when ill or in trouble; but they wisely kept away from his hunting grounds, lest they might interfere with his sport and arouse his anger.",Where did the King of the Polar Bears live?,"Where did the King of the Polar Bears live?, Why was the King of the Polar Bears old and monstrous big?, Why was the King of the Polar Bears wise and friendly to all who knew him?, What did the King of the Polar Bears look like?, What did the King of the Polar Bears do to the seals?, Why did the seals try to avoid the King of the Polar Bears?, Why did the gulls love the King of the Polar Bears?, Why did the polar bears come to the King of the Polar Bears for advice?, Why did the polar bears wisely keep away from the King of the Polar Bears' hunting grounds?"
262,"The King of the Polar Bears lived among the icebergs in the far north country. He was old and monstrous big; he was wise and friendly to all who knew him. His body was thickly covered with long, white hair that glistened like silver under the rays of the midnight sun. His claws were strong and sharp, that he might walk safely over the smooth ice or grasp and tear the fishes and seals upon which he fed.  The seals were afraid when he drew near, and tried to avoid him; but the gulls, both white and gray, loved him because he left the remnants of his feasts for them to devour.  Often his subjects, the polar bears, came to him for advice when ill or in trouble; but they wisely kept away from his hunting grounds, lest they might interfere with his sport and arouse his anger.","Who had a body that was thickly covered with long, white hair that glistened like silver under the rays of the midnight sun?","Where did the King of the Polar Bears live?, Why was the King of the Polar Bears old and monstrous big?, How did the King of the Polar Bears look?, Why were the seals afraid when the King of the Polar Bears drew near?, Why did the gulls love the King of the Polar Bears?, Why did the polar bears come to the King of the Polar Bears for advice?, Why did the polar bears wisely keep away from the King of the Polar Bears' hunting grounds?"
263,"The wolves, who sometimes came as far north as the icebergs, whispered among themselves that the King of the Polar Bears was either a magician or under the protection of a powerful fairy. For no earthly thing seemed able to harm him; he never failed to secure plenty of food, and he grew bigger and stronger day by day and year by year.  Yet the time came when this monarch of the north met man, and his wisdom failed him.  He came out of his cave among the icebergs one day and saw a boat moving through the strip of water which had been uncovered by the shifting of the summer ice. In the boat were men.",Why did the wolves believe that that the King of the Polar Bears was either a magician or under the protection of a powerful fairy?,"Why did the wolves believe the King of the Polar Bears was either a magician or under the protection of a powerful fairy?, What did the King of the Polar Bears see among the icebergs?"
264,"The great bear had never seen such creatures before, and therefore advanced toward the boat, sniffing the strange scent with aroused curiosity and wondering whether he might take them for friends or foes, food or carrion.  When the king came near the water's edge a man stood up in the boat and with a queer instrument made a loud ""bang!"" The polar bear felt a shock; his brain became numb; his thoughts deserted him; his great limbs shook and gave way beneath him and his body fell heavily upon the hard ice.  That was all he remembered for a time.",What did the men do to the King of the Polar Bears?,What happened after the bear smelled the boat?
265,"And the King of the Polar Bears had courage to bear his pain and lived and was strong again.  The feathers grew as they had grown upon the bodies of the birds and covered him as his own hair had done. Mostly they were pure white in color, but some from the gray gulls gave his majesty a slight mottled appearance.  The rest of that summer and all through the six months of night the king left his icy cavern only to fish or catch seals for food. He felt no shame at his feathery covering, but it was still strange to him, and he avoided meeting any of his brother bears.",Why did the King of the Polar Bears only leave his icy cavern to fish or catch seals for food?,Why did the king avoid meeting his brother bears?
266,"When he awoke he was smarting with pain on every inch of his huge bulk, for the men had cut away his hide with its glorious white hair and carried it with them to a distant ship.  Above him circled thousands of his friends the gulls, wondering if their benefactor were really dead and it was proper to eat him. But when they saw him raise his head and groan and tremble they knew he still lived, and one of them said to his comrades:  ""The wolves were right. The king is a great magician, for even men cannot kill him. But he suffers for lack of covering. Let us repay his kindness to us by each giving him as many feathers as we can spare.""",Why did the gulls each give the King of the Polar Bears as many feathers as they could spare?,"How did the seal feel when he woke up?, What did the gulls do when they saw the seal?, What did the gulls decide to do?"
267,"During this period of retirement he thought much of the men who had harmed him, and remembered the way they had made the great ""bang!"" And he decided it was best to keep away from such fierce creatures. Thus he added to his store of wisdom.  When the moon fell away from the sky and the sun came to make the icebergs glitter with the gorgeous tintings of the rainbow, two of the polar bears arrived at the king's cavern to ask his advice about the hunting season. But when they saw his great body covered with feathers instead of hair they began to laugh, and one said:  ""Our mighty king has become a bird! Who ever before heard of a feathered polar bear?""",How did the King of the Polar Bears feel towards the men who harmed him?,How did the two polar bears feel when they saw the king's great body covered with feathers?
268,"During this period of retirement he thought much of the men who had harmed him, and remembered the way they had made the great ""bang!"" And he decided it was best to keep away from such fierce creatures. Thus he added to his store of wisdom.  When the moon fell away from the sky and the sun came to make the icebergs glitter with the gorgeous tintings of the rainbow, two of the polar bears arrived at the king's cavern to ask his advice about the hunting season. But when they saw his great body covered with feathers instead of hair they began to laugh, and one said:  ""Our mighty king has become a bird! Who ever before heard of a feathered polar bear?""",What did the other polar bear do when it saw the King of the Polar Bears's great body covered with feathers instead of hair?,"Why did the king decide to keep away from such fierce creatures?, Who came to ask the king's advice about the hunting season?"
269,"He is, in reality, no longer a bear,"" said one; ""nor can he justly be called a bird. But he is half bird and half bear, and so unfitted to remain our king.""  ""Then who shall take his place?"" asked another.  ""He who can fight the bird-bear and overcome him,"" answered an aged member of the group. ""Only the strongest is fit to rule our race.""  There was silence for a time, but at length a great bear moved to the front and said:  ""I will fight him; I-Woof-the strongest of our race! And I will be King of the Polar Bears.""",Why did the polar bears believe that the King of Polar Bears was unfit to be their king?,"Why did the polar bears want the bear-bear to leave?, Who wanted to be the new king of the polar bears?"
270,"The others nodded assent, and dispatched a messenger to the king to say he must fight the great Woof and master him or resign his sovereignty.  ""For a bear with feathers,"" added the messenger, ""is no bear at all, and the king we obey must resemble the rest of us.""  ""I wear feathers because it pleases me,"" growled the king. ""Am I not a great magician? But I will fight, nevertheless, and if Woof masters me he shall be king in my stead.""  Then he visited his friends, the gulls, who were even then feasting upon the dead bear, and told them of the coming battle.  ""I shall conquer,"" he said, proudly. ""Yet my people are in the right, for only a hairy one like themselves can hope to command their obedience.""",What did the polar bears do when the great bear wanted to fight the King of the Polar Bears?,Why did the king's subjects send a message to the king to fight the great Woof and master him or resign his sovereignty?
271,"He is, in reality, no longer a bear,"" said one; ""nor can he justly be called a bird. But he is half bird and half bear, and so unfitted to remain our king.""  ""Then who shall take his place?"" asked another.  ""He who can fight the bird-bear and overcome him,"" answered an aged member of the group. ""Only the strongest is fit to rule our race.""  There was silence for a time, but at length a great bear moved to the front and said:  ""I will fight him; I-Woof-the strongest of our race! And I will be King of the Polar Bears.""",Who challenged the King of the Polar Bears to a fight to be the next king?,"Why did the polar bears want the bear-bear to leave?, Who wanted to be the new king of the polar bears?"
272,"For three days they flew straight as an arrow, until they came to scattered houses, to villages, and to cities. Then their search began.  The gulls were brave, and cunning, and wise. Upon the fourth day they reached the great metropolis, and hovered over the streets until a carriage rolled along with a great white bear robe thrown over the back seat. Then the birds swooped down-the whole hundred of them-and seizing the skin in their beaks flew quickly away.  They were late. The king's great battle was upon the seventh day, and they must fly swiftly to reach the Polar regions by that time.",What did the gulls do when the King of the Polar Bear commanded them to retrieve his hide?,What did the gulls do when they reached the great metropolis?
273,"After exchanging one or two heavy blows with his foe Woof's courage returned, and he determined to dishearten his adversary by bluster.  ""Come nearer, bird-bear!"" he cried. ""Come nearer, that I may pluck your plumage!""  The defiance filled the king with rage. He ruffled his feathers as a bird does, till he appeared to be twice his actual size, and then he strode forward and struck Woof so powerful a blow that his skull crackled like an egg-shell and he fell prone upon the ground.",What happened to the great Woof when the King of the Polar Bears fought him?,"Why did Woof's courage return?, What happened after Woof's courage returned?, How did the king feel after Woof defied him?, What happened to the king after he struck Woof?"
274,"While the assembled bears stood looking with fear and wonder at their fallen champion the sky became darkened.  An hundred gulls flew down from above and dripped upon the king's body a skin covered with pure white hair that glittered in the sun like silver.  And behold! the bears saw before them the well-known form of their wise and respected master, and with one accord they bowed their shaggy heads in homage to the mighty King of the Polar Bears.",What did the gulls do when they arrived with the King of the Polar Bears' hide?,What did the gulls do to the king's body?
275,"While the assembled bears stood looking with fear and wonder at their fallen champion the sky became darkened.  An hundred gulls flew down from above and dripped upon the king's body a skin covered with pure white hair that glittered in the sun like silver.  And behold! the bears saw before them the well-known form of their wise and respected master, and with one accord they bowed their shaggy heads in homage to the mighty King of the Polar Bears.",What did the polar bears do when the king's body was covered with his hide?,What did the gulls do to the king's body?
276,"There was once a king and queen who had a little boy, and they called his name Kilweh. The queen, his mother, fell ill soon after his birth, and as she could not take care of him herself she sent him to a woman she knew up in the mountains, so that he might learn to go out in all weathers, and bear heat and cold, and grow tall and strong. Kilweh was quite happy with his nurse, and ran races and climbed hills with the children who were his playfellows, and in the winter, when the snow lay on the ground, sometimes a man with a harp would stop and beg for shelter, and in return would sing them songs of strange things that had happened in the years gone by.",Who had a little boy?,"Who had a little boy?, Why did the queen send Kilweh to a woman up in the mountains?, What did Kilweh do with the children who were his playfellows?, What did the man with a harp do in return for shelter?"
277,"There was once a king and queen who had a little boy, and they called his name Kilweh. The queen, his mother, fell ill soon after his birth, and as she could not take care of him herself she sent him to a woman she knew up in the mountains, so that he might learn to go out in all weathers, and bear heat and cold, and grow tall and strong. Kilweh was quite happy with his nurse, and ran races and climbed hills with the children who were his playfellows, and in the winter, when the snow lay on the ground, sometimes a man with a harp would stop and beg for shelter, and in return would sing them songs of strange things that had happened in the years gone by.",What was the little boy's name?,"Who had a little boy?, Where did the woman live who took care of Kilweh?, What did the man with a harp do when he stopped by?"
278,"There was once a king and queen who had a little boy, and they called his name Kilweh. The queen, his mother, fell ill soon after his birth, and as she could not take care of him herself she sent him to a woman she knew up in the mountains, so that he might learn to go out in all weathers, and bear heat and cold, and grow tall and strong. Kilweh was quite happy with his nurse, and ran races and climbed hills with the children who were his playfellows, and in the winter, when the snow lay on the ground, sometimes a man with a harp would stop and beg for shelter, and in return would sing them songs of strange things that had happened in the years gone by.",Who fell ill soon after Kilweh's birth?,"Who had a little boy?, Why did the queen send Kilweh to a woman up in the mountains?, What did Kilweh do with the children who were his playfellows?, What did the man with a harp do in return for shelter?"
279,"There was once a king and queen who had a little boy, and they called his name Kilweh. The queen, his mother, fell ill soon after his birth, and as she could not take care of him herself she sent him to a woman she knew up in the mountains, so that he might learn to go out in all weathers, and bear heat and cold, and grow tall and strong. Kilweh was quite happy with his nurse, and ran races and climbed hills with the children who were his playfellows, and in the winter, when the snow lay on the ground, sometimes a man with a harp would stop and beg for shelter, and in return would sing them songs of strange things that had happened in the years gone by.",Why did the queen send Kilweh to a woman she knew up in the mountains?,"Who had a little boy?, Why did the queen send Kilweh to a woman up in the mountains?, What did Kilweh do with the children who were his playfellows?, What did the man with a harp do in return for shelter?"
280,"There was once a king and queen who had a little boy, and they called his name Kilweh. The queen, his mother, fell ill soon after his birth, and as she could not take care of him herself she sent him to a woman she knew up in the mountains, so that he might learn to go out in all weathers, and bear heat and cold, and grow tall and strong. Kilweh was quite happy with his nurse, and ran races and climbed hills with the children who were his playfellows, and in the winter, when the snow lay on the ground, sometimes a man with a harp would stop and beg for shelter, and in return would sing them songs of strange things that had happened in the years gone by.",What did the man with a harp do in return for shelter?,"Who had a little boy?, Where did the woman the king and queen knew send their son?, What did the man with a harp do when he stopped and begged for shelter?"
281,"But long before this changes had taken place in the court of Kilweh's father. Soon after she had sent her baby away the queen became much worse, and at length, seeing that she was going to die, she called her husband to her and said:  'Never again shall I rise from this bed, and by and bye thou wilt take another wife. But lest she should make thee forget thy son, I charge thee that thou take not a wife until thou see a briar with two blossoms upon my grave.' And this he promised her. Then she further bade him to see to her grave that nothing might grow thereon. This likewise he promised her, and soon she died, and for seven years the king sent a man every morning to see that nothing was growing on the queen's grave, but at the end of seven years he forgot.",What happened after the queen sent her son away?,"Why did the queen become much worse?, What did the queen charge the king to do?"
282,"But long before this changes had taken place in the court of Kilweh's father. Soon after she had sent her baby away the queen became much worse, and at length, seeing that she was going to die, she called her husband to her and said:  'Never again shall I rise from this bed, and by and bye thou wilt take another wife. But lest she should make thee forget thy son, I charge thee that thou take not a wife until thou see a briar with two blossoms upon my grave.' And this he promised her. Then she further bade him to see to her grave that nothing might grow thereon. This likewise he promised her, and soon she died, and for seven years the king sent a man every morning to see that nothing was growing on the queen's grave, but at the end of seven years he forgot.",What did the queen ask from her husband?,"Why did the queen become much worse?, What happened after the queen died?, Why did the king send a man every morning to see that nothing was growing on the queen's grave?"
283,"But long before this changes had taken place in the court of Kilweh's father. Soon after she had sent her baby away the queen became much worse, and at length, seeing that she was going to die, she called her husband to her and said:  'Never again shall I rise from this bed, and by and bye thou wilt take another wife. But lest she should make thee forget thy son, I charge thee that thou take not a wife until thou see a briar with two blossoms upon my grave.' And this he promised her. Then she further bade him to see to her grave that nothing might grow thereon. This likewise he promised her, and soon she died, and for seven years the king sent a man every morning to see that nothing was growing on the queen's grave, but at the end of seven years he forgot.",How long did the king wait for the blossoms on the queen's grave?,"Why did the queen become much worse?, What happened after the queen died?, What did the king promise his wife?"
284,"But long before this changes had taken place in the court of Kilweh's father. Soon after she had sent her baby away the queen became much worse, and at length, seeing that she was going to die, she called her husband to her and said:  'Never again shall I rise from this bed, and by and bye thou wilt take another wife. But lest she should make thee forget thy son, I charge thee that thou take not a wife until thou see a briar with two blossoms upon my grave.' And this he promised her. Then she further bade him to see to her grave that nothing might grow thereon. This likewise he promised her, and soon she died, and for seven years the king sent a man every morning to see that nothing was growing on the queen's grave, but at the end of seven years he forgot.",What happened after the king sent a man to the queen's grave for seven years?,"Why did the queen become much worse?, What did the queen charge the king to do?"
285,"One day when the king was out hunting he rode past the place where the queen lay buried, and there he saw a briar growing with two blossoms on it.  'It is time that I took a wife,' said he, and after long looking he found one. But he did not tell her about his son; indeed he hardly remembered that he had one till she heard it at last from an old woman whom she had gone to visit. And the new queen was very pleased, and sent messengers to fetch the boy, and in his father's court he stayed, while the years went by till one day the queen told him that a prophecy had foretold that he was to win for his wife Olwen the daughter of Yspaddaden Penkawr.",What happened after the king was out hunting one day?,"Where did the king ride past?, What did the king see when he rode past?, What did the king do after he saw the briar?, Why did the king not tell the queen about his son?, What did the queen do after she heard about the king's son?, What did the queen do after she heard about the king's son?, Where did the new queen send messengers to fetch the boy?, Who was Olwen the daughter of Yspaddaden Penkawr?"
286,"One day when the king was out hunting he rode past the place where the queen lay buried, and there he saw a briar growing with two blossoms on it.  'It is time that I took a wife,' said he, and after long looking he found one. But he did not tell her about his son; indeed he hardly remembered that he had one till she heard it at last from an old woman whom she had gone to visit. And the new queen was very pleased, and sent messengers to fetch the boy, and in his father's court he stayed, while the years went by till one day the queen told him that a prophecy had foretold that he was to win for his wife Olwen the daughter of Yspaddaden Penkawr.",What did the king decide to do after he saw two bloons on the queen's grave?,"Where did the king ride past?, What did the king see while riding past?, What did the king do after he saw the briar?, Why did the king not tell the queen about his son?, What did the queen do after she heard about the king's son?, What did the queen do after she heard about the king's son?, Where did the queen send messengers to fetch the boy?, Who was Olwen the daughter of Yspaddaden Penkawr?"
287,"One day when the king was out hunting he rode past the place where the queen lay buried, and there he saw a briar growing with two blossoms on it.  'It is time that I took a wife,' said he, and after long looking he found one. But he did not tell her about his son; indeed he hardly remembered that he had one till she heard it at last from an old woman whom she had gone to visit. And the new queen was very pleased, and sent messengers to fetch the boy, and in his father's court he stayed, while the years went by till one day the queen told him that a prophecy had foretold that he was to win for his wife Olwen the daughter of Yspaddaden Penkawr.",How did the new queen hear about the king's son?,"Where did the king ride past?, What did the king see when he rode past?, What did the king do after he saw the briar?, Why did the king not tell the queen about his son?, What did the queen do after she heard about the king's son?, What did the queen do after she heard about the king's son?, Where did the queen send messengers to fetch the boy?, Who was Olwen the daughter of Yspaddaden Penkawr?"
288,"One day when the king was out hunting he rode past the place where the queen lay buried, and there he saw a briar growing with two blossoms on it.  'It is time that I took a wife,' said he, and after long looking he found one. But he did not tell her about his son; indeed he hardly remembered that he had one till she heard it at last from an old woman whom she had gone to visit. And the new queen was very pleased, and sent messengers to fetch the boy, and in his father's court he stayed, while the years went by till one day the queen told him that a prophecy had foretold that he was to win for his wife Olwen the daughter of Yspaddaden Penkawr.",What did the new queen do after she heard about the king's son?,"Where did the king ride past?, What did the king see when he rode past?, What did the king do after he saw the briar?, Why did the king not tell the queen about his son?, What did the queen do after she heard about the king's son?, What did the queen do after she heard about the king's son?, Where did the queen send messengers to fetch the boy?, Who was Olwen the daughter of Yspaddaden Penkawr?"
289,"One day when the king was out hunting he rode past the place where the queen lay buried, and there he saw a briar growing with two blossoms on it.  'It is time that I took a wife,' said he, and after long looking he found one. But he did not tell her about his son; indeed he hardly remembered that he had one till she heard it at last from an old woman whom she had gone to visit. And the new queen was very pleased, and sent messengers to fetch the boy, and in his father's court he stayed, while the years went by till one day the queen told him that a prophecy had foretold that he was to win for his wife Olwen the daughter of Yspaddaden Penkawr.",What was the prophecy that the new queen told Kilweh?,"Where did the king ride past?, What did the king see while riding past?, What did the king do after he saw the briar?, Why did the king not tell the queen about his son?, What did the queen do after she heard about the king's son?, What did the queen do after she heard about the king's son?, Where did the queen send messengers to fetch the boy?, Who was Olwen the daughter of Yspaddaden Penkawr?"
290,"When he heard this Kilweh felt proud and happy. Surely he must be a man now, he thought, or there would be no talk of a wife for him, and his mind dwelt all day upon his promised bride, and what she would be like when he beheld her.  'What troubles you, my son?' asked his father at last, when Kilweh had forgotten something he had been bidden to do, and Kilweh blushed red as he answered:  'My stepmother says that none but Olwen, the daughter of Yspaddaden Penkawr, shall be my wife.'  'That will be easily fulfilled,' replied his father. 'Arthur the king is your cousin. Go therefore to him and beg him to cut your hair, and to grant you this boon.'",What did the king tell Kilweh to do?,"How did Kilweh feel when he heard about his promised bride?, What did Kilweh's father tell him to do?"
291,"When he heard this Kilweh felt proud and happy. Surely he must be a man now, he thought, or there would be no talk of a wife for him, and his mind dwelt all day upon his promised bride, and what she would be like when he beheld her.  'What troubles you, my son?' asked his father at last, when Kilweh had forgotten something he had been bidden to do, and Kilweh blushed red as he answered:  'My stepmother says that none but Olwen, the daughter of Yspaddaden Penkawr, shall be my wife.'  'That will be easily fulfilled,' replied his father. 'Arthur the king is your cousin. Go therefore to him and beg him to cut your hair, and to grant you this boon.'",Who was the king's cousin?,How did Kilweh feel when he heard about his bride?
292,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",Why did Kilweh look for a porter?,"Who was the porter every first day of January?, What did Glewlwyd do after Kilweh asked to enter?, Why couldn't Kilweh enter the castle?"
293,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",Why didn't the man open the gate?,"Who was the porter every first day of January?, What did Glewlwyd do after Kilweh asked to enter?, Why couldn't Kilweh enter the castle?"
294,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",What did the man offer to Kilweh?,"Who was the porter every first day of January?, What did Glewlwyd do when Kilweh wanted to enter?, Why couldn't Kilweh enter the castle?"
295,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",What did Kilweh threaten to do?,"Who was the porter every first day of January?, What did Glewlwyd do after Kilweh asked to enter?, Why couldn't Kilweh enter the castle?"
296,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",How did Kilweh feel after the porter did not let him in?,"Who was the porter every first day of January?, What did Glewlwyd do after Kilweh asked to enter?, Why couldn't Kilweh enter the castle?"
297,"Is there a porter?' cried Kilweh, looking round for someone to open the gate.  'There is; and I am Arthur's porter every first day of January,' answered a man coming out to him. 'The rest of the year there are other porters, and among them Pennpingyon, who goes upon his head to save his feet.'  'Well, open the portal, I say.'  'No, that I may not do, for none can enter save the son of a king or a pedlar who has goods to sell. But elsewhere there will be food for thy dogs and hay for thy horse, and for thee collops cooked and peppered, and sweet wine shall be served in the guest chamber.'  'That will not do for me,' answered Kilweh. 'If thou wilt not open the gate I will send up three shouts that shall be heard from Cornwall unto the north, and yet again to Ireland.'  'Whatever clamour you may make,' spake Glewlwyd the porter, 'you shall not enter until I first go and speak with Arthur.'",What did Glewlwyd the porter need to do before Kilweh could enter?,"Who was the porter every first day of January?, What did Glewlwyd do when Kilweh wanted to enter?, Why couldn't Kilweh enter the castle?"
298,"Then Glewlwyd went into the hall, and Arthur said to him:  'Do you have news from the gate?' and the porter answered:  'Far have I travelled, both in this island and elsewhere, and many kingly men have I seen; but never yet have I beheld one equal in majesty to him who now stands at the door.'  'If walking you did enter here, return you running,' replied Arthur, 'and let everyone that opens and shuts the eye show him respect and serve him, for it is not meet to keep such a man in the wind and rain.' So Glewlwyd unbarred the gate and Kilweh rode in upon his charger.  'Greeting to you, O ruler of this land,' cried he, 'and greeting no less to the lowest than to the highest.'  'Greeting to you also,' answered Arthur. 'Sit between two of my warriors, and you shall have minstrels before you and all that belongs to one born to be a king, while you remain in my palace.'",What did Arthur decide to do after Glewlwyd the porter told him about Kilweh?,"What did Glewlwyd do after Arthur told him to return running?, What did Arthur tell Glewlwyd to do while he remained in his palace?"
299,"I am not come,' replied Kilweh, 'for meat and drink, but to obtain a boon, and if you grant it me I will pay it back, and will carry thy praise to the four winds of heaven. But if you wilt not grant it to me, then I will proclaim your discourtesy wherever your name is known.'  'What you ask that shall you receive,' said Arthur, 'as far as the wind dries and the rain moistens, and the sun revolves and the sea encircles and the earth extends. Save only my ship and my mantle, my word and my lance, my shield and my dagger, and Guinevere my wife.'  'I would that you bless my hair,' spake Kilweh, and Arthur answered:  'That shall be granted to you.'",What did Kilweh ask from Arthur?,"What did Kilweh ask from Arthur?, What did Kilweh promise to do if Arthur granted his request?"
