Unnamed: 0,id,context,question,generated
45,46,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",Where did the wife and her friends go to after getting on the boat?,"1. What was the story about?
2. When did the story take place?
3. Where did the story take place?
4. Which characters were involved in the story?
5. Why did the old woman go to the dance?
6. How did the old woman and her friends reach Norway?
7. How did they reach the land of the Lapps?"
46,47,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",What did the wife and her friends do after they took the cockle-shells for boats?,"1. What did the Goodman do while the old woman was telling her story?
2. Why did the Goodman respond with ""And what the better are ye for all your dancing?""
3. What did the old woman do after she finished her story?
4. What did the old woman tell her husband when she returned in the morning?
5. What did the old woman and her friends do while they were sailing over the stormy sea?
6. What did they do when they reached Norway?
7. What did they do when they reached the land of the Lapps?"
47,48,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",Where did the wife and her friends go to after riding invisible horses?,"1. What did the Goodman do while the old woman was telling her story?
2. Why did the Goodman respond with ""And what the better are ye for all your dancing?""
3. What did the old woman do after she finished her story?
4. What did the old woman tell her husband when she returned in the morning?
5. What did the old woman and her friends do while they were sailing over the stormy sea?
6. What did the old woman and her friends do after they reached the land of the Lapps?
7. How did the old woman and her friends reach the land of the Lapps?"
48,49,"And here all the Elves, and Fairies, and Mermaids of the North were holding festival with Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves, who are never looked upon by mortal eyes. And the Witches from Fife held festival with them, and danced, and feasted, and sang with them, and, what was of more consequence, they learned from them certain wonderful words, which, when they uttered them, would bear them through the air, and would undo all bolts and bars, and so gain them admittance to any place soever where they wanted to be. And after that they had come home again, delighted with the knowledge which they had acquired.  ""What took you to such a land as that?"" asked the old man, with a contemptuous grunt. ""You would hae been a sight warmer in your bed.""",Why did the wife and her friends go to the land of the Lapps?,"1. What took you to such a land as that?
2. Why did you go to such a land as that?
3. Where did you go to such a land as that?
4. When did you go to such a land as that?
5. Which land did you go to such a land as that?
6. Which people did you go to such a land as that?
7. How did you go to such a land as that?"
49,50,"And here all the Elves, and Fairies, and Mermaids of the North were holding festival with Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves, who are never looked upon by mortal eyes. And the Witches from Fife held festival with them, and danced, and feasted, and sang with them, and, what was of more consequence, they learned from them certain wonderful words, which, when they uttered them, would bear them through the air, and would undo all bolts and bars, and so gain them admittance to any place soever where they wanted to be. And after that they had come home again, delighted with the knowledge which they had acquired.  ""What took you to such a land as that?"" asked the old man, with a contemptuous grunt. ""You would hae been a sight warmer in your bed.""",How did the wife and her friends feel with the knowledge they acquired?,"1. What took you to such a land as that?
2. Why did you go to such a land as that?
3. Where did you go to such a land as that?
4. When did you go to such a land as that?
5. Which land did you go to such a land as that?
6. Which people did you go to such a land as that?
7. How did you go to such a land as that?"
50,51,"And the bolts and the bars flew loose before them, and they went down to his cellar and sampled his wine, and were back in Fife, fine, sober, old women by cock-crow.  When he heard this, the old man started from his chair in right earnest, for he loved good wine above all things, and it was but seldom that it came his way.  ""By my truth, but you are a wife to be proud of!"" he cried. ""Tell me the words, Woman! and I will e'en go and sample his Lordship's wine for myself.""",How did the husband feel after his wife told him about her next adventure?,"1. What is the old man's name?
2. Where did the old man live?
3. What did the old man do when he heard the news?
4. What did the old man say about his wife?
5. What did the old man do after hearing the news?
6. What did the old man say about the wine?
7. What did the old man do after hearing the news?"
51,52,"But when his wife returned from her next adventure, he showed a little more interest in her doings.  For she told him how she and her friends had met in the cottage of one of their number, and how, having heard that the Lord Bishop of Carlisle had some very rare wine in his cellar, they had placed their feet on the crook from which the pot hung, and had pronounced the magic words which they had learned from the Elves of Lappland. And, lo and behold! they flew up the chimney like whiffs of smoke, and sailed through the air like little wreathes of cloud, and in less time than it takes to tell they landed at the Bishop's Palace at Carlisle.",How did the witches land at the Bishop's Palace of Carlisle?,"1. What was the reason for the wife's return from her next adventure?
2. How did the wife and her friends meet in the cottage of one of their number?
3. What did they do to get the rare wine from the Lord Bishop of Carlisle?
4. How did they fly up the chimney like whiffs of smoke and sail through the air like little wreathes of cloud?
5. What was the result of their actions?
6. Why did the husband show a little more interest in his wife's doings?
7. How did the husband's interest in his wife's doings change?"
52,53,"But the Goodwife shook her head. ""Na, na! I cannot do that,"" she said, ""for if I did, you telled it over again, it would turn the whole world upside down. For everybody would be leaving their own lawful work, and flying about the world after other folk's business and other folk's dainties. So just bide content, Goodman. You get on fine with the knowledge you already possess.""  And although the old man tried to persuade her with all the soft words he could think of, she would not tell him her secret.",Why didn't the wife allow her husband to know the magic words?,"1. What is the Goodwife's reason for not telling the old man her secret?
2. Why does she believe that if she told him, the whole world would turn upside down?
3. What is the old man trying to persuade her with?
4. What is the old man's reaction to her refusal to tell him her secret?
5. Why does the old man want to know her secret?
6. What is the Goodwife's secret?
7. How does the Goodwife's secret relate to the old man's desire to know it?"
53,54,"But the Goodwife shook her head. ""Na, na! I cannot do that,"" she said, ""for if I did, you telled it over again, it would turn the whole world upside down. For everybody would be leaving their own lawful work, and flying about the world after other folk's business and other folk's dainties. So just bide content, Goodman. You get on fine with the knowledge you already possess.""  And although the old man tried to persuade her with all the soft words he could think of, she would not tell him her secret.",Why would the whole world turn upside down if everyone knew the magic words?,"1. What is the Goodwife's response to the old man's request?
2. Why does the Goodwife refuse to tell the old man her secret?
3. What is the old man's response to the Goodwife's refusal?
4. What is the Goodwife's reason for refusing to tell the old man her secret?
5. What is the old man's reason for wanting to know the Goodwife's secret?
6. What is the Goodwife's reason for not wanting to tell the old man her secret?
7. How does the old man's request affect the Goodwife's decision?
8. What is the Goodwife's response to the old man's request?
9. Why does the Goodwife refuse to tell the old man her secret?
10. What is the old man's response to the Goodwife's refusal?
11. What is the Goodwife's reason for refusing to tell the old man her secret?
12. What is the old man's reason for wanting to know the Goodwife's secret?
13. What is the Goodwife's reason for not wanting to tell the old man her secret?
14. How does the old man's request affect the Goodwife's decision?
15. What is the Goodwife's response to the old man's request?
16. Why does the Goodwife refuse to tell the old man her secret?
17. What is the old man's response to the Goodwife's refusal?
18. What is the Goodwife's reason for refusing to tell the old man her secret?
19. What is the old man's reason for wanting to know the Goodwife's secret?
20. What is the Goodwife's reason for not wanting to tell the old man her secret?
21. How does the old man's request affect the Goodwife's decision?
22. What is the Goodwife's response to the old man's request?
23. Why does the Goodwife refuse to tell the old man her secret?
24. What is the old man's response to the Goodwife's refusal?
25. What is the Goodwife's reason for refusing to tell the old man her secret?
26. What is the old man's reason for wanting to know the Goodwife's secret?
27. What is the Goodwife's reason for not wanting to tell the old man her secret?
28. How does the old man's request affect the Goodwife's decision?
29. What is the Goodwife's response to the old man's request?
30. Why does the Goodwife refuse to tell the old man her secret?
31. What is the old man's response to the Goodwife's refusal?
32. What is the Goodwife's reason for refusing to tell the old man her secret?
33. What is the old man's reason for wanting to know the Goodwife's secret?
34. What is the Goodwife's reason for not wanting to tell the old man her secret?
35. How does the old man's request affect the Goodwife's decision?
36. What is the Goodwife's response to the old man's request?
37. Why does the Goodwife refuse"
54,55,"But the Goodwife shook her head. ""Na, na! I cannot do that,"" she said, ""for if I did, you telled it over again, it would turn the whole world upside down. For everybody would be leaving their own lawful work, and flying about the world after other folk's business and other folk's dainties. So just bide content, Goodman. You get on fine with the knowledge you already possess.""  And although the old man tried to persuade her with all the soft words he could think of, she would not tell him her secret.",What did the husband do after his wife did not want to tell him the magic words?,"1. What is the Goodwife's response to the old man's request?
2. Why does the Goodwife refuse to tell the old man her secret?
3. What is the old man's response to the Goodwife's refusal?
4. What is the Goodwife's reason for refusing to tell the old man her secret?
5. What is the old man's reason for wanting to know the Goodwife's secret?
6. What is the Goodwife's reason for not wanting to tell the old man her secret?
7. How does the old man's request affect the Goodwife's decision?
8. What is the Goodwife's response to the old man's request?
9. Why does the Goodwife refuse to tell the old man her secret?
10. What is the old man's response to the Goodwife's refusal?
11. What is the Goodwife's reason for refusing to tell the old man her secret?
12. What is the old man's reason for wanting to know the Goodwife's secret?
13. What is the Goodwife's reason for not wanting to tell the old man her secret?
14. How does the old man's request affect the Goodwife's decision?
15. What is the Goodwife's response to the old man's request?
16. Why does the Goodwife refuse to tell the old man her secret?
17. What is the old man's response to the Goodwife's refusal?
18. What is the Goodwife's reason for refusing to tell the old man her secret?
19. What is the old man's reason for wanting to know the Goodwife's secret?
20. What is the Goodwife's reason for not wanting to tell the old man her secret?
21. How does the old man's request affect the Goodwife's decision?
22. What is the Goodwife's response to the old man's request?
23. Why does the Goodwife refuse to tell the old man her secret?
24. What is the old man's response to the Goodwife's refusal?
25. What is the Goodwife's reason for refusing to tell the old man her secret?
26. What is the old man's reason for wanting to know the Goodwife's secret?
27. What is the Goodwife's reason for not wanting to tell the old man her secret?
28. How does the old man's request affect the Goodwife's decision?
29. What is the Goodwife's response to the old man's request?
30. Why does the Goodwife refuse to tell the old man her secret?
31. What is the old man's response to the Goodwife's refusal?
32. What is the Goodwife's reason for refusing to tell the old man her secret?
33. What is the old man's reason for wanting to know the Goodwife's secret?
34. What is the Goodwife's reason for not wanting to tell the old man her secret?
35. How does the old man's request affect the Goodwife's decision?
36. What is the Goodwife's response to the old man's request?
37. Why does the Goodwife refuse"
55,56,"But he was a sly old man, and the thought of the Bishop's wine gave him no rest. So night after night he went and hid in the old woman's cottage, in the hope that his wife and her friends would meet there; and although for a long time it was all in vain, at last his trouble was rewarded. For one evening the whole five old women assembled, and in low tones and with chuckles of laughter they recounted all that had befallen them in Lappland. Then, running to the fireplace, they, one after another, climbed on a chair and put their feet on the sooty crook. Then they repeated the magic words, and, hey, presto! they were up the lum and away before the old man could draw his breath.  ""I can do that, too,"" he said to himself; and he crawled out of his hiding-place and ran to the fire. He put his foot on the crook and repeated the words, and up the chimney he went, and flew through the air after his wife and her companions, as if he had been a Warlock born.",What happened after his wife did not allow him to know her secret?,"1. What did the old man do to get his wife and her friends to meet at the old woman's cottage?
2. Why did the old man hide in the old woman's cottage?
3. How did the old man get his wife and her friends to meet at the old woman's cottage?
4. What did the old man do to get his wife and her friends to meet at the old woman's cottage?
5. Why did the old man hide in the old woman's cottage?
6. How did the old man get his wife and her friends to meet at the old woman's cottage?
7. What did the old man do to get his wife and her friends to meet at the old woman's cottage?"
56,57,"But he was a sly old man, and the thought of the Bishop's wine gave him no rest. So night after night he went and hid in the old woman's cottage, in the hope that his wife and her friends would meet there; and although for a long time it was all in vain, at last his trouble was rewarded. For one evening the whole five old women assembled, and in low tones and with chuckles of laughter they recounted all that had befallen them in Lappland. Then, running to the fireplace, they, one after another, climbed on a chair and put their feet on the sooty crook. Then they repeated the magic words, and, hey, presto! they were up the lum and away before the old man could draw his breath.  ""I can do that, too,"" he said to himself; and he crawled out of his hiding-place and ran to the fire. He put his foot on the crook and repeated the words, and up the chimney he went, and flew through the air after his wife and her companions, as if he had been a Warlock born.",What happened after the husband repeated the magic words?,"1. What did the old man do to get his wife back?
2. Why did he hide in the old woman's cottage?
3. How did he manage to get his wife back?
4. What did he do to get his wife back?
5. How did he manage to get his wife back?
6. Why did he hide in the old woman's cottage?
7. How did he manage to get his wife back?"
57,58,"But he was a sly old man, and the thought of the Bishop's wine gave him no rest. So night after night he went and hid in the old woman's cottage, in the hope that his wife and her friends would meet there; and although for a long time it was all in vain, at last his trouble was rewarded. For one evening the whole five old women assembled, and in low tones and with chuckles of laughter they recounted all that had befallen them in Lappland. Then, running to the fireplace, they, one after another, climbed on a chair and put their feet on the sooty crook. Then they repeated the magic words, and, hey, presto! they were up the lum and away before the old man could draw his breath.  ""I can do that, too,"" he said to himself; and he crawled out of his hiding-place and ran to the fire. He put his foot on the crook and repeated the words, and up the chimney he went, and flew through the air after his wife and her companions, as if he had been a Warlock born.",Why did the husband follow his wife every night?,"1. What did the old man do to get his wife and her friends to meet in the old woman's cottage?
2. Why did the old man hide in the old woman's cottage?
3. How did the old man get his wife and her friends to meet in the old woman's cottage?
4. What did the old man do to get his wife and her friends to meet in the old woman's cottage?
5. Why did the old man hide in the old woman's cottage?
6. How did the old man get his wife and her friends to meet in the old woman's cottage?
7. What did the old man do to get his wife and her friends to meet in the old woman's cottage?"
58,59,"And, as Witches are not in the habit of looking over their shoulders, they never noticed that he was following them, until they reached the Bishop's Palace and went down into his cellar, then, when they found that he was among them, they were not too well pleased.  However, there was no help for it, and they settled down to enjoy themselves. They tapped this cask of wine, and they tapped that, drinking a little of each, but not too much; for they were cautious old women, and they knew that if they wanted to get home before cock-crow it behoved them to keep their heads clear.  But the old man was not so wise, for he sipped, and he sipped, until at last he became quite drowsy, and lay down on the floor and fell fast asleep.",Why didn't the witches notice that the husband was following them?,"1. What was the old man doing when he followed the witches into the Bishop's Palace?
2. Why did the witches not notice the old man following them?
3. How did the witches react when they found the old man among them?
4. What did the witches do to enjoy themselves in the Bishop's Palace?
5. How did the old man behave while he was there?
6. What did the witches do to ensure they could get home before cock-crow?
7. How did the old man's behavior affect the witches' plans?"
59,60,"And, as Witches are not in the habit of looking over their shoulders, they never noticed that he was following them, until they reached the Bishop's Palace and went down into his cellar, then, when they found that he was among them, they were not too well pleased.  However, there was no help for it, and they settled down to enjoy themselves. They tapped this cask of wine, and they tapped that, drinking a little of each, but not too much; for they were cautious old women, and they knew that if they wanted to get home before cock-crow it behoved them to keep their heads clear.  But the old man was not so wise, for he sipped, and he sipped, until at last he became quite drowsy, and lay down on the floor and fell fast asleep.",Where did the witches and the husband fly to?,"1. What was the old man doing when he followed the witches into the Bishop's Palace?
2. When did the witches notice the old man following them?
3. Where did the witches go after they noticed the old man following them?
4. Which cask of wine did the witches tap first?
5. Which cask of wine did the witches tap last?
6. Which cask of wine did the old man drink from?
7. Why did the witches not want the old man to drink too much wine?
8. How did the old man become drowsy and fall asleep?"
60,61,"And, as Witches are not in the habit of looking over their shoulders, they never noticed that he was following them, until they reached the Bishop's Palace and went down into his cellar, then, when they found that he was among them, they were not too well pleased.  However, there was no help for it, and they settled down to enjoy themselves. They tapped this cask of wine, and they tapped that, drinking a little of each, but not too much; for they were cautious old women, and they knew that if they wanted to get home before cock-crow it behoved them to keep their heads clear.  But the old man was not so wise, for he sipped, and he sipped, until at last he became quite drowsy, and lay down on the floor and fell fast asleep.",Why didn't the witches drink a lot of wine?,"1. What was the old man doing when he was following the witches?
2. When did the witches notice the old man following them?
3. Where did the witches go when they noticed the old man following them?
4. Which cask of wine did the witches tap first?
5. Which cask of wine did the witches tap last?
6. Which cask of wine did the old man drink from?
7. Why did the witches decide to enjoy themselves?
8. How did the old man become drowsy and fall asleep?"
61,62,"And, as Witches are not in the habit of looking over their shoulders, they never noticed that he was following them, until they reached the Bishop's Palace and went down into his cellar, then, when they found that he was among them, they were not too well pleased.  However, there was no help for it, and they settled down to enjoy themselves. They tapped this cask of wine, and they tapped that, drinking a little of each, but not too much; for they were cautious old women, and they knew that if they wanted to get home before cock-crow it behoved them to keep their heads clear.  But the old man was not so wise, for he sipped, and he sipped, until at last he became quite drowsy, and lay down on the floor and fell fast asleep.",Why wasn't the husband so wise?,"1. What was the old man doing when he followed the Witches to the Bishop's Palace?
2. When did the Witches notice that the old man was following them?
3. Where did the Witches go after they noticed the old man following them?
4. Which Witches were present during the incident?
5. Which Witches were not too well pleased when they found the old man among them?
6. Why did the Witches settle down to enjoy themselves?
7. How did the old man become drowsy and fall asleep?"
62,63,"And his wife, seeing this, thought that she would teach him a lesson not to be so curious in the future. So, when she and her four friends thought that it was time to be gone, she departed without waking him.  He slept peacefully for some hours, until two of the Bishop's servants, coming down to the cellar to draw wine for their Master's table, almost fell over him in the darkness. Greatly astonished at his presence there, for the cellar door was fast locked, they dragged him up to the light and shook him, and cuffed him, and asked him how he came to be there.  And the poor old man was so confused at being awakened in this rough way, and his head seemed to whirl round so fast, that all he could stammer out was, ""that he came from Fife, and that he had travelled on the midnight wind.""",How did the wife teach her husband a lesson?,"1. What was the old man doing in the cellar?
2. Why did the Bishop's servants find him there?
3. How did the old man travel to the cellar?
4. Where did the old man come from?
5. What was the old man doing when he was found in the cellar?
6. Why did the old man's wife think it was time to leave?
7. How did the old man travel to the cellar?"
63,64,"And his wife, seeing this, thought that she would teach him a lesson not to be so curious in the future. So, when she and her four friends thought that it was time to be gone, she departed without waking him.  He slept peacefully for some hours, until two of the Bishop's servants, coming down to the cellar to draw wine for their Master's table, almost fell over him in the darkness. Greatly astonished at his presence there, for the cellar door was fast locked, they dragged him up to the light and shook him, and cuffed him, and asked him how he came to be there.  And the poor old man was so confused at being awakened in this rough way, and his head seemed to whirl round so fast, that all he could stammer out was, ""that he came from Fife, and that he had travelled on the midnight wind.""",Why did the wife want to teach her husband a lesson?,"1. What was the old man doing in the cellar?
2. Why did the Bishop's servants find him there?
3. How did the old man explain his presence in the cellar?
4. Where did the old man come from?
5. When did the old man arrive?
6. Where did the old man travel from?
7. Which of the Bishop's servants found the old man in the cellar?
8. Which of the Bishop's servants was the most surprised by the old man's presence in the cellar?
9. Why did the old man's wife think it was time to teach him a lesson?
10. How did the old man explain his presence in the cellar?"
64,65,"As soon as they heard that, the men servants cried out that he was a Warlock, and they dragged him before the Bishop, and, as Bishops in those days had a holy horror of Warlocks and Witches, he ordered him to be burned alive.  When the sentence was pronounced, you may be very sure that the poor old man wished with all his heart that he had stayed quietly at home in bed, and never hankered after the Bishop's wine.  But it was too late to wish that now, for the servants dragged him out into the courtyard, and put a chain round his waist, and fastened it to a great iron stake, and they piled faggots of wood round his feet and set them alight.",How did the servants feel after they believed he was a warlock?,"1. What was the reason for the old man's execution?
2. When did the execution take place?
3. Where did the execution take place?
4. Which men servants were involved in the execution?
5. Which Bishop was responsible for the execution?
6. Why did the Bishop have a holy horror of Warlocks and Witches?
7. How did the old man wish he had stayed quietly at home in bed?"
65,66,"As soon as they heard that, the men servants cried out that he was a Warlock, and they dragged him before the Bishop, and, as Bishops in those days had a holy horror of Warlocks and Witches, he ordered him to be burned alive.  When the sentence was pronounced, you may be very sure that the poor old man wished with all his heart that he had stayed quietly at home in bed, and never hankered after the Bishop's wine.  But it was too late to wish that now, for the servants dragged him out into the courtyard, and put a chain round his waist, and fastened it to a great iron stake, and they piled faggots of wood round his feet and set them alight.",Why did the servants drag the husband before the Bishop?,"1. What was the reason for the old man's execution?
2. When did the execution take place?
3. Where did the execution take place?
4. Which men servants were involved in the execution?
5. Which Bishop ordered the execution?
6. Which sentence was pronounced?
7. How did the old man feel about the sentence?"
66,67,"As soon as they heard that, the men servants cried out that he was a Warlock, and they dragged him before the Bishop, and, as Bishops in those days had a holy horror of Warlocks and Witches, he ordered him to be burned alive.  When the sentence was pronounced, you may be very sure that the poor old man wished with all his heart that he had stayed quietly at home in bed, and never hankered after the Bishop's wine.  But it was too late to wish that now, for the servants dragged him out into the courtyard, and put a chain round his waist, and fastened it to a great iron stake, and they piled faggots of wood round his feet and set them alight.",How did the husband feel after the sentence was pronounced?,"1. What was the reason for the old man's execution?
2. When did the execution take place?
3. Where did the execution take place?
4. Which men servants were involved in the execution?
5. Which Bishop was responsible for the execution?
6. Why did the Bishop have a holy horror of Warlocks and Witches?
7. How did the old man wish he had stayed quietly at home in bed?"
67,68,"As soon as they heard that, the men servants cried out that he was a Warlock, and they dragged him before the Bishop, and, as Bishops in those days had a holy horror of Warlocks and Witches, he ordered him to be burned alive.  When the sentence was pronounced, you may be very sure that the poor old man wished with all his heart that he had stayed quietly at home in bed, and never hankered after the Bishop's wine.  But it was too late to wish that now, for the servants dragged him out into the courtyard, and put a chain round his waist, and fastened it to a great iron stake, and they piled faggots of wood round his feet and set them alight.",What did the husband wish for after his sentence was pronounced?,"1. What was the reason for the old man's execution?
2. When did the execution take place?
3. Where did the execution take place?
4. Which men servants were involved in the execution?
5. Which Bishop was responsible for the execution?
6. Why did the Bishop have a holy horror of Warlocks and Witches?
7. How did the old man wish he had stayed quietly at home in bed?"
68,69,"As the first tiny little tongue of flame crept up, the poor old man thought that his last hour had come. But when he thought that, he forgot completely that his wife was a Witch.   For, just as the little tongue of flame began to singe his breeches, there was a swish and a flutter in the air, and a great Grey Bird, with outstretched wings, appeared in the sky, and swooped down suddenly, and perched for a moment on the old man's shoulder.  And in this Grey Bird's mouth was a little red pirnie, which, to everyone's amazement, it popped on to the prisoner's head. Then it gave one fierce croak, and flew away again, but to the old man's ears that croak was the sweetest music that he had ever heard.",Why did the husband forget that his wife was a witch?,"1. What was the first tiny little tongue of flame that crept up?
2. What did the old man think that his last hour had come?
3. What did the old man forget completely that his wife was a Witch?
4. What happened when the little tongue of flame began to singe his breeches?
5. What was the swish and a flutter in the air?
6. What was the great Grey Bird that appeared in the sky?
7. What was the little red pirnie that the Grey Bird had in its mouth?
8. What was the old man's reaction to the little red pirnie?
9. What was the sweetest music that the old man had ever heard?"
69,70,"As the first tiny little tongue of flame crept up, the poor old man thought that his last hour had come. But when he thought that, he forgot completely that his wife was a Witch.   For, just as the little tongue of flame began to singe his breeches, there was a swish and a flutter in the air, and a great Grey Bird, with outstretched wings, appeared in the sky, and swooped down suddenly, and perched for a moment on the old man's shoulder.  And in this Grey Bird's mouth was a little red pirnie, which, to everyone's amazement, it popped on to the prisoner's head. Then it gave one fierce croak, and flew away again, but to the old man's ears that croak was the sweetest music that he had ever heard.",What happened after the husband was taken into the courtyard?,"1. What was the first tiny little tongue of flame that crept up?
2. What did the old man think that his last hour had come?
3. What did the old man forget completely that his wife was a Witch?
4. What happened when the little tongue of flame began to singe his breeches?
5. What was the swish and a flutter in the air?
6. What was the great Grey Bird that appeared in the sky?
7. What was the little red pirnie that the Grey Bird had in its mouth?
8. What was the old man's reaction to the little red pirnie?
9. What was the sweetest music that the old man had ever heard?"
70,71,"As the first tiny little tongue of flame crept up, the poor old man thought that his last hour had come. But when he thought that, he forgot completely that his wife was a Witch.   For, just as the little tongue of flame began to singe his breeches, there was a swish and a flutter in the air, and a great Grey Bird, with outstretched wings, appeared in the sky, and swooped down suddenly, and perched for a moment on the old man's shoulder.  And in this Grey Bird's mouth was a little red pirnie, which, to everyone's amazement, it popped on to the prisoner's head. Then it gave one fierce croak, and flew away again, but to the old man's ears that croak was the sweetest music that he had ever heard.",How did the husband feel after he realized his wife came to save him?,"1. What was the first tiny little tongue of flame that crept up?
2. What did the old man think that his last hour had come?
3. What did the old man forget completely that his wife was a Witch?
4. What happened when the little tongue of flame began to singe his breeches?
5. What was the swish and a flutter in the air?
6. What was the great Grey Bird that appeared in the sky?
7. What was the little red pirnie that the Grey Bird had in its mouth?
8. What was the old man's reaction to the little red pirnie?
9. What was the sweetest music that the old man had ever heard?"
71,72,"As the first tiny little tongue of flame crept up, the poor old man thought that his last hour had come. But when he thought that, he forgot completely that his wife was a Witch.   For, just as the little tongue of flame began to singe his breeches, there was a swish and a flutter in the air, and a great Grey Bird, with outstretched wings, appeared in the sky, and swooped down suddenly, and perched for a moment on the old man's shoulder.  And in this Grey Bird's mouth was a little red pirnie, which, to everyone's amazement, it popped on to the prisoner's head. Then it gave one fierce croak, and flew away again, but to the old man's ears that croak was the sweetest music that he had ever heard.",Who was a little red pirinie?,"1. What was the first tiny little tongue of flame that crept up?
2. What did the old man think that his last hour had come?
3. What did the old man forget completely that his wife was a Witch?
4. What happened when the little tongue of flame began to singe his breeches?
5. What was the swish and a flutter in the air?
6. What was the great Grey Bird that appeared in the sky?
7. What was the little red pirnie that the Grey Bird had in its mouth?
8. What was the old man's reaction to the little red pirnie?
9. What was the sweetest music that the old man had ever heard?"
72,73,"For to him it was the croak of no earthly bird, but the voice of his wife whispering words of magic to him. And when he heard them he jumped for joy, for he knew that they were words of deliverance, and he shouted them aloud, and his chains fell off, and he mounted in the air--up and up--while the onlookers watched him in awestruck silence.  He flew right away to the Kingdom of Fife, without as much as saying good-bye to them; and when he found himself once more safely at home, you may be very sure that he never tried to find out his wife's secrets again, but left her alone to her own devices.",How did the onlookers feel after the husband flew away?,"1. What was the croak of no earthly bird?
2. When did he hear the voice of his wife?
3. Where did he jump for joy?
4. Which words of magic did he hear?
5. Who was his wife?
6. Why did he shout the words of deliverance?
7. How did he mount in the air?"
73,74,"For to him it was the croak of no earthly bird, but the voice of his wife whispering words of magic to him. And when he heard them he jumped for joy, for he knew that they were words of deliverance, and he shouted them aloud, and his chains fell off, and he mounted in the air--up and up--while the onlookers watched him in awestruck silence.  He flew right away to the Kingdom of Fife, without as much as saying good-bye to them; and when he found himself once more safely at home, you may be very sure that he never tried to find out his wife's secrets again, but left her alone to her own devices.",Why did his wife whisper words of magic to him?,"1. What was the croak of no earthly bird?
2. When did he hear the voice of his wife?
3. Where did he jump for joy?
4. Which words of magic did he hear?
5. Who was the onlooker?
6. Why did he leave his wife alone?
7. How did he find himself safely at home?"
74,75,"For to him it was the croak of no earthly bird, but the voice of his wife whispering words of magic to him. And when he heard them he jumped for joy, for he knew that they were words of deliverance, and he shouted them aloud, and his chains fell off, and he mounted in the air--up and up--while the onlookers watched him in awestruck silence.  He flew right away to the Kingdom of Fife, without as much as saying good-bye to them; and when he found himself once more safely at home, you may be very sure that he never tried to find out his wife's secrets again, but left her alone to her own devices.",Where did the husband fly to?,"1. What was the croak of no earthly bird?
2. When did he hear the voice of his wife?
3. Where did he jump for joy?
4. Which words of magic did he hear?
5. Who was his wife?
6. Why did he shout the words of deliverance?
7. How did he mount in the air?"
75,76,"A long time ago, there lived an old poet, a thoroughly kind old poet. As he was sitting one evening in his room, a dreadful storm arose without, and the rain streamed down from heaven. But the old poet sat warm and comfortable in his chimney-corner, where the fire blazed and the roasting apple hissed. ""Those who have not a roof over their heads will be wetted to the skin,"" said the good old poet.",Who was sitting in the chimney-corner?,"1. What was the old poet doing when the storm arose?
2. Where was the old poet sitting when the storm arose?
3. Which room was the old poet sitting in when the storm arose?
4. Which fire was the old poet sitting in front of when the storm arose?
5. Which roasting apple was the old poet sitting in front of when the storm arose?
6. Which chimney-corner was the old poet sitting in when the storm arose?
7. Which roasting apple was the old poet sitting in front of when the storm arose?
8. Why did the old poet sit warm and comfortable in his chimney-corner when the storm arose?
9. How did the old poet sit warm and comfortable in his chimney-corner when the storm arose?
10. How did the old poet sit warm and comfortable in his chimney-corner when the storm arose?"
